Tuple	Confidence	Ground	NumTrue	NumFalse	Fraction	InversionCount	YetToConvergeFraction	Time(s)
ptsVH(1606,1)	0.877303	TrueGround	1	0	1.0	5671692	0.0	346.2644407749176
ptsVH(1607,1)	0.938277	TrueGround	2	0	1.0	5667657	0.0	384.54629921913147
ptsVH(1610,2)	0.896156	TrueGround	3	0	1.0	5667510	0.0	356.084233045578
ptsVH(1611,2)	0.938277	TrueGround	4	0	1.0	5667599	0.0	354.5371026992798
ptsVH(1612,3)	0.896156	TrueGround	5	0	1.0	5647508	0.0	347.2663507461548
ptsVH(1613,3)	0.938277	TrueGround	6	0	1.0	5647508	0.0	338.2796542644501
ptsVH(1615,4)	0.896156	TrueGround	7	0	1.0	5647508	0.0	331.0787744522095
ptsVH(1616,4)	0.938277	TrueGround	8	0	1.0	5647508	0.0	358.0816025733948
ptsVH(1618,5)	0.896156	TrueGround	9	0	1.0	5647508	0.0	348.0605471134186
ptsVH(1619,5)	0.938277	TrueGround	10	0	1.0	5648463	0.0	340.34436559677124
ptsVH(1625,6)	0.896156	TrueGround	11	0	1.0	5648463	0.0	315.1347734928131
ptsVH(1626,6)	0.938277	TrueGround	12	0	1.0	5648745	0.0	315.6326713562012
ptsVH(1627,7)	0.896156	TrueGround	13	0	1.0	5623096	0.0	339.84732270240784
ptsVH(1628,7)	0.938277	TrueGround	14	0	1.0	5623023	0.0	332.7573058605194
ptsVH(1629,8)	0.896156	TrueGround	15	0	1.0	5622956	0.0	331.70813965797424
ptsVH(1630,8)	0.938277	TrueGround	16	0	1.0	5624129	0.0	332.18805289268494
ptsVH(1624,6)	0.877084	TrueGround	17	0	1.0	5624129	0.0	372.68552708625793
ptsVH(1637,6)	0.922291	TrueGround	18	0	1.0	5623695	0.0	338.14953231811523
ptsVH(888,85)	0.831225	TrueGround	19	0	1.0	5615612	0.0	330.176007270813
ptsVH(889,85)	0.938277	TrueGround	20	0	1.0	5615602	0.0	359.0479612350464
ptsVH(239,25)	0.823861	TrueGround	21	0	1.0	5615602	0.0	339.7471089363098
ptsVH(240,25)	0.938277	TrueGround	22	0	1.0	5616038	0.0	537.0277552604675
ptsVH(249,26)	0.896156	TrueGround	23	0	1.0	5616039	0.0	560.0743827819824
ptsVH(250,26)	0.938277	TrueGround	24	0	1.0	5616677	0.0	519.173143863678
ptsVH(260,27)	0.896156	TrueGround	25	0	1.0	5616677	0.0	527.6273806095123
ptsVH(261,27)	0.938277	TrueGround	26	0	1.0	5617358	0.0	512.4866282939911
ptsVH(269,28)	0.896156	TrueGround	27	0	1.0	5617360	0.0	505.0385138988495
ptsVH(270,28)	0.938277	TrueGround	28	0	1.0	5618098	0.0	510.8406436443329
ptsVH(913,85)	0.810546	TrueGround	29	0	1.0	5618097	0.0	469.0909221172333
ptsVH(1918,136)	0.803909	TrueGround	30	0	1.0	5617899	0.0	528.9591684341431
ptsVH(1919,136)	0.938277	TrueGround	31	0	1.0	5619752	0.0	492.76101326942444
ptsVH(1922,26)	0.832044	FalseGround	31	1	0.96875	5619751	0.0	473.5557622909546
ptsVH(1850,127)	0.790519	TrueGround	32	1	0.9696969696969697	5617668	0.0	555.5669684410095
ptsVH(1851,127)	0.938277	TrueGround	33	1	0.9705882352941176	5617562	0.0	580.3537271022797
