Tuple	Confidence	Ground	NumTrue	NumFalse	Fraction	InversionCount	YetToConvergeFraction	Time(s)
ptsVH(15980,1)	0.923305	TrueGround	1	0	1.0	707755151	0.0	25416.035363435745
ptsVH(14186,1)	0.902307	TrueGround	2	0	1.0	844807804	0.0225126	58072.85319542885
ptsVH(14187,1)	0.938711	TrueGround	3	0	1.0	703565677	0.0	32177.886382818222
ptsVH(14188,1)	0.938277	TrueGround	4	0	1.0	703445896	0.0	30165.501307964325
ptsVH(14193,2)	0.896156	TrueGround	5	0	1.0	703344712	0.0	28924.118083000183
ptsVH(14194,2)	0.938277	TrueGround	6	0	1.0	702817595	0.0	29736.94388985634
ptsVH(14200,3)	0.896156	TrueGround	7	0	1.0	703140869	0.0	28356.081248283386
ptsVH(14201,3)	0.938277	TrueGround	8	0	1.0	703371367	0.0	28467.56593990326
ptsVH(14202,3)	0.938277	TrueGround	9	0	1.0	703492399	0.0	28493.53396844864
ptsVH(14206,4)	0.896156	TrueGround	10	0	1.0	703358265	0.0	31674.28846859932
ptsVH(14207,4)	0.938277	TrueGround	11	0	1.0	703440869	0.0	28696.601057052612
