Rank	Confidence	Ground	Label	Comments	Tuple
1	0.848126	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24377)
2	0.848126	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24465)
3	0.848126	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24495)
4	0.848126	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24570)
5	0.848126	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24579)
6	0.845459	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,_bc_do_sub-19190)
7	0.842194	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,bc_divide-19756)
8	0.825815	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,process_params-21873)
9	0.819398	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,bc_divide-19724)
10	0.81	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,addbyte-21935)
11	0.81	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,addbyte-21936)
12	0.81	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,addbyte-21919)
13	0.81	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,addbyte-21920)
14	0.807387	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,_bc_shift_addsub-19349)
15	0.807387	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,_bc_shift_addsub-19350)
16	0.80566	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24223)
17	0.80566	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24224)
18	0.80566	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24225)
19	0.80566	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24343)
20	0.803228	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,addbyte-21926)
21	0.802169	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,long_val-21969)
22	0.802169	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,long_val-21970)
23	0.8005	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,bc_divide-19653)
