Rank	Confidence	Ground	Label	Comments	Tuple
1	0.839344	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24377)
2	0.839344	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24465)
3	0.839344	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24495)
4	0.839344	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24570)
5	0.839344	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24579)
6	0.759436	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24222)
7	0.759436	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24375)
8	0.759436	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24558)
9	0.696337	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24120)
10	0.685744	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24050)
11	0.685744	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24051)
12	0.619299	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,addbyte-21926)
13	0.58256	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,rt_error-20988)
14	0.562399	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,_bc_do_sub-19190)
15	0.562399	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,bc_divide-19756)
16	0.556392	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,addbyte-21925)
17	0.556392	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,addbyte-21932)
18	0.556392	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,addbyte-21933)
19	0.556392	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,addbyte-21934)
20	0.556392	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,addbyte-21935)
21	0.556392	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,addbyte-21936)
22	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24092)
23	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24136)
24	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24144)
25	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24156)
26	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24164)
27	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24170)
28	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24185)
29	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24186)
30	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24187)
31	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24195)
32	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24198)
33	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24201)
34	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24209)
35	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24213)
36	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24219)
37	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24223)
38	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24224)
39	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24225)
40	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24229)
41	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24230)
42	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24231)
43	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24234)
44	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24237)
45	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24238)
46	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24246)
47	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24248)
48	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24250)
49	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24259)
50	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24263)
51	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24283)
52	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24288)
53	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24292)
54	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24300)
55	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24301)
56	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24312)
57	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24314)
58	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24316)
59	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-24318)
