Rank	Confidence	Ground	Label	Comments	Tuple
1	0.887557	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,_getopt_internal_r-36282)
2	0.847498	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,main-43786)
3	0.843664	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,_getopt_internal_r-36107)
4	0.843664	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,_getopt_internal_r-36108)
5	0.839876	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,main-43787)
6	0.830193	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,_getopt_internal_r-36117)
7	0.830193	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,_getopt_internal_r-36118)
8	0.830193	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,_getopt_internal_r-36119)
9	0.830193	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,_getopt_internal_r-36120)
10	0.830193	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,_getopt_internal_r-36121)
11	0.830193	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,_getopt_internal_r-36122)
12	0.817591	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,tree_output-42823)
13	0.817591	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,tree_output-42830)
14	0.793732	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,collect_processor-40779)
15	0.782552	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,_getopt_internal_r-33262)
16	0.782552	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,_getopt_internal_r-36294)
17	0.782552	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,_getopt_internal_r-36135)
18	0.782552	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,_getopt_internal_r-36136)
19	0.782552	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,_getopt_internal_r-36137)
20	0.782552	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,_getopt_internal_r-36138)
21	0.782552	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,_getopt_internal_r-36143)
22	0.782552	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,_getopt_internal_r-36144)
23	0.782552	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,_getopt_internal_r-36153)
24	0.782552	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,_getopt_internal_r-36154)
25	0.776889	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,clear_active-42622)
26	0.775805	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,set_level_indent-43114)
27	0.775805	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,set_level_indent-43115)
28	0.775805	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,set_level_indent-43116)
29	0.775805	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,set_level_indent-43117)
30	0.774929	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,collect_functions-40828)
31	0.764936	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,set_active-42665)
32	0.750295	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,direct_tree-42701)
33	0.750295	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,direct_tree-42681)
34	0.750295	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,direct_tree-42682)
35	0.750295	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,direct_tree-42691)
36	0.750295	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,direct_tree-42692)
37	0.750295	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,direct_tree-42693)
38	0.750295	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,direct_tree-42694)
39	0.742863	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,_getopt_internal_r-36349)
40	0.742863	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,_getopt_internal_r-36357)
