Tuple	Confidence	Ground	NumTrue	NumFalse	Fraction	InversionCount	YetToConvergeFraction	Time(s)
Alarm(_G_-ENTRY,_getopt_internal_r-36282)	0.794003	FalseGround	0	1	0.0	355	0.0	2
Alarm(_G_-ENTRY,fill_in_uparams-37420)	0.574012	FalseGround	0	2	0.0	324	0.0	3
Alarm(_G_-ENTRY,fill_in_uparams-37390)	0.451397	FalseGround	0	3	0.0	323	0.0	3
Alarm(_G_-ENTRY,exchange-35998)	0.445729	FalseGround	0	4	0.0	322	0.0	3
Alarm(_G_-ENTRY,fill_in_uparams-37391)	0.430401	FalseGround	0	5	0.0	319	0.0	4
Alarm(_G_-ENTRY,argp_fmtstream_putc-34507)	0.414077	FalseGround	0	6	0.0	318	0.0	4
Alarm(_G_-ENTRY,parser_parse_next-37180)	0.373623	FalseGround	0	7	0.0	315	0.0	4
Alarm(_G_-ENTRY,tree_output-42823)	0.353033	FalseGround	0	8	0.0	313	0.0	4
Alarm(_G_-ENTRY,main-43786)	0.335498	FalseGround	0	9	0.0	284	0.0	4
Alarm(_G_-ENTRY,hol_entry_help-38144)	0.313811	FalseGround	0	10	0.0	279	0.0	5
Alarm(_G_-ENTRY,parser_convert-36827)	0.313811	FalseGround	0	11	0.0	278	0.0	5
Alarm(_G_-ENTRY,sourcerc-41037)	0.313811	FalseGround	0	12	0.0	257	0.0	5
Alarm(_G_-ENTRY,tolower-36593)	0.313811	FalseGround	0	13	0.0	256	0.0	5
Alarm(_G_-ENTRY,toupper-36602)	0.313811	FalseGround	0	14	0.0	255	0.0	5
Alarm(_G_-ENTRY,usage_argful_short_opt-38293)	0.313811	FalseGround	0	15	0.0	254	0.0	5
Alarm(_G_-ENTRY,usage_argful_short_opt-38296)	0.313811	FalseGround	0	16	0.0	253	0.0	5
Alarm(_G_-ENTRY,usage_long_opt-38323)	0.313811	FalseGround	0	17	0.0	252	0.0	5
Alarm(_G_-ENTRY,usage_long_opt-38326)	0.313811	FalseGround	0	18	0.0	251	0.0	5
Alarm(_G_-ENTRY,usage_long_opt-38329)	0.313811	FalseGround	0	19	0.0	250	0.0	5
Alarm(_G_-ENTRY,fill_in_uparams-37340)	0.300191	FalseGround	0	20	0.0	249	0.0	5
Alarm(_G_-ENTRY,parser_parse_arg-37073)	0.254789	FalseGround	0	21	0.0	242	0.0	5
Alarm(_G_-ENTRY,tree_output-42830)	0.249761	FalseGround	0	22	0.0	241	0.0	5
Alarm(_G_-ENTRY,collect_processor-40779)	0.228141	FalseGround	0	23	0.0	232	0.0	5
Alarm(_G_-ENTRY,hol_usage-38352)	0.224832	FalseGround	0	24	0.0	231	0.0	5
Alarm(_G_-ENTRY,transfer_entries-35784)	0.200581	FalseGround	0	25	0.0	230	0.0	5
Alarm(_G_-ENTRY,fill_in_uparams-37341)	0.186792	FalseGround	0	26	0.0	229	0.0	5
Alarm(_G_-ENTRY,wordsplit_strerror-39060)	0.180773	FalseGround	0	27	0.0	212	0.0	4
Alarm(_G_-ENTRY,hol_set_group-37658)	0.175515	FalseGround	0	28	0.0	211	0.0	5
Alarm(_G_-ENTRY,group_parse-36714)	0.164596	FalseGround	0	29	0.0	210	0.0	5
Alarm(_G_-ENTRY,argp_fmtstream_putc-34510)	0.156142	FalseGround	0	30	0.0	189	0.0	5
Alarm(_G_-ENTRY,parser_convert-36828)	0.15531	FalseGround	0	31	0.0	188	0.0	6
Alarm(_G_-ENTRY,hol_help-38232)	0.146426	FalseGround	0	32	0.0	185	0.0	6
Alarm(_G_-ENTRY,comma-37994)	0.143157	FalseGround	0	33	0.0	175	0.0	5
Alarm(_G_-ENTRY,make_hol-37514)	0.141782	FalseGround	0	34	0.0	164	0.0	6
Alarm(_G_-ENTRY,hash_do_for_each-35563)	0.136877	FalseGround	0	35	0.0	161	0.0	5
Alarm(_G_-ENTRY,_getopt_internal_r-33464)	0.135085	FalseGround	0	36	0.0	158	0.0	5
Alarm(_G_-ENTRY,_getopt_internal_r-36328)	0.135085	FalseGround	0	37	0.0	157	0.0	5
Alarm(_G_-ENTRY,_getopt_internal_r-36344)	0.135085	FalseGround	0	38	0.0	156	0.0	5
Alarm(_G_-ENTRY,_getopt_internal_r-36346)	0.135085	FalseGround	0	39	0.0	155	0.0	6
Alarm(_G_-ENTRY,_getopt_internal_r-36354)	0.135085	FalseGround	0	40	0.0	154	0.0	5
Alarm(_G_-ENTRY,_getopt_internal_r-36366)	0.135085	FalseGround	0	41	0.0	153	0.0	6
Alarm(_G_-ENTRY,_getopt_internal_r-36368)	0.135085	FalseGround	0	42	0.0	152	0.0	6
Alarm(_G_-ENTRY,_getopt_internal_r-36379)	0.135085	FalseGround	0	43	0.0	151	0.0	6
Alarm(_G_-ENTRY,_getopt_internal_r-36388)	0.135085	FalseGround	0	44	0.0	150	0.0	6
Alarm(_G_-ENTRY,_getopt_internal_r-36416)	0.135085	FalseGround	0	45	0.0	149	0.0	5
Alarm(_G_-ENTRY,_getopt_internal_r-36423)	0.135085	FalseGround	0	46	0.0	148	0.0	6
Alarm(_G_-ENTRY,_getopt_internal_r-36430)	0.135085	FalseGround	0	47	0.0	147	0.0	6
Alarm(_G_-ENTRY,_getopt_internal_r-36448)	0.135085	FalseGround	0	48	0.0	146	0.0	6
Alarm(_G_-ENTRY,dbgtok-41272)	0.135085	FalseGround	0	49	0.0	145	0.0	6
Alarm(_G_-ENTRY,expand_argcv-40901)	0.135085	FalseGround	0	50	0.0	144	0.0	6
Alarm(_G_-ENTRY,hol_sort-37811)	0.135085	FalseGround	0	51	0.0	143	0.0	6
Alarm(_G_-ENTRY,parser_init-36938)	0.135085	FalseGround	0	52	0.0	142	0.0	5
Alarm(_G_-ENTRY,set_level_mark-42540)	0.135085	FalseGround	0	53	0.0	141	0.0	6
Alarm(_G_-ENTRY,sourcerc-41024)	0.135085	FalseGround	0	54	0.0	140	0.0	6
