Rank	Confidence	Ground	Label	Comments	Tuple
1	0.897976	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49822)
2	0.897976	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49823)
3	0.896117	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,main-57748)
4	0.89468	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,merge-48294)
5	0.89468	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,merge-48295)
6	0.891189	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,grep-55630)
7	0.891035	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49846)
8	0.890159	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-48495)
9	0.887519	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49725)
10	0.887519	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49726)
11	0.887519	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49727)
12	0.887519	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49728)
13	0.884205	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,main-57725)
14	0.879714	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49959)
15	0.878126	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49806)
16	0.878082	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfamust-54192)
17	0.876455	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49751)
18	0.876455	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49752)
19	0.876116	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49938)
20	0.873674	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,main-57629)
21	0.873674	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,main-57406)
22	0.873674	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,main-57407)
23	0.87287	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-48395)
24	0.87287	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-48396)
25	0.87287	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-48397)
26	0.87287	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-48398)
27	0.871343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49843)
28	0.871343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49844)
29	0.870939	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfamust-54174)
30	0.866487	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,build_state-50353)
31	0.866487	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,build_state-50354)
32	0.865884	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,merge-48337)
33	0.865884	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,merge-48342)
34	0.865884	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,merge-48345)
35	0.863617	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-48493)
36	0.85899	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-48419)
37	0.85899	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-48420)
38	0.85899	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-48425)
39	0.85899	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-48426)
40	0.857271	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,hash_find_entry-40563)
41	0.854803	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,fts_open-41077)
42	0.854803	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,fts_open-41143)
43	0.853988	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,EGexecute-45450)
44	0.853453	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfamust-54157)
45	0.851364	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49769)
46	0.845459	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfamust-54080)
47	0.845459	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfamust-54099)
48	0.845459	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfamust-54101)
49	0.84363	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,prpending-55367)
50	0.843482	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-48465)
51	0.843482	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-48484)
52	0.843482	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-48486)
53	0.843482	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-48487)
54	0.843482	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-48488)
55	0.843482	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-48489)
56	0.843482	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-48490)
57	0.843482	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-48491)
58	0.843482	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-48389)
59	0.843482	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-48390)
60	0.84071	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,insert-48205)
61	0.84071	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,insert-48206)
62	0.83673	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfamust-53816)
63	0.83673	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfamust-53817)
64	0.83673	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfamust-53818)
65	0.83673	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfamust-53819)
66	0.836464	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49803)
67	0.836464	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49814)
68	0.835101	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfamust-53830)
69	0.835101	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfamust-53831)
70	0.833377	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,EGexecute-45434)
71	0.831291	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,hash_find_entry-40556)
72	0.820327	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,comsubs-52424)
73	0.817591	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,Fcompile-44069)
74	0.817591	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,bm_delta2_search-44743)
75	0.817591	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49838)
76	0.817591	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49839)
77	0.817591	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49862)
78	0.817591	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49864)
79	0.817591	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,inboth-52508)
80	0.817591	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,kwsincr-44404)
81	0.817591	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,kwsincr-44405)
82	0.817591	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,kwsincr-44409)
83	0.817591	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,kwsincr-44410)
84	0.817591	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,kwsincr-44419)
85	0.817591	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,kwsincr-44434)
86	0.817591	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,kwsincr-44458)
87	0.812483	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,cwexec-44990)
88	0.812186	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,hash_insert_if_absent-40721)
89	0.81	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,copy-48140)
90	0.81	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,copy-48141)
91	0.81	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,copy-48143)
92	0.81	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,copy-48162)
93	0.81	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,copy-48164)
94	0.81	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,copy-48128)
95	0.81	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,copy-48129)
96	0.809997	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,setbit-45591)
97	0.809775	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,grep-55625)
98	0.809775	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,grep-55626)
99	0.809775	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,grep-55650)
100	0.809679	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,main-57577)
101	0.809679	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,main-57581)
102	0.809672	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,setmatcher-56209)
103	0.809672	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,setmatcher-56211)
104	0.80917	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,build_state-50356)
105	0.80917	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,build_state-50358)
106	0.80917	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,build_state-50359)
107	0.808125	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,merge-48304)
108	0.808125	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,merge-48274)
109	0.808125	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,merge-48275)
110	0.808125	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,merge-48298)
