Rank	Confidence	Ground	Label	Comments	Tuple
1	0.858518	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,main-57748)
2	0.857438	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49822)
3	0.857438	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49823)
4	0.813437	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49846)
5	0.812598	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,get_charset_aliases-40073)
6	0.801677	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,main-57629)
7	0.788744	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,main-57725)
8	0.772517	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49938)
9	0.769657	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,merge-48294)
10	0.769657	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,merge-48295)
11	0.76558	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,grep-55630)
12	0.764253	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,add_exclude_fp-43101)
13	0.747204	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-48495)
14	0.734272	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,main-57406)
15	0.734272	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,main-57407)
16	0.720264	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49751)
17	0.720264	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49752)
18	0.704376	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,merge-48337)
19	0.704376	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,merge-48342)
20	0.704376	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,merge-48345)
21	0.70213	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49725)
22	0.70213	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49726)
23	0.70213	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49727)
24	0.70213	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49728)
25	0.678498	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49806)
26	0.678498	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfastate-49959)
