Tuple	Confidence	Ground	NumTrue	NumFalse	Fraction	InversionCount	YetToConvergeFraction	Time(s)
Alarm(_G_-ENTRY,scan_tree-14536)	0.896606	FalseGround	0	1	0.0	1804	0.0	3
Alarm(_G_-ENTRY,longest_match-11655)	0.874127	FalseGround	0	2	0.0	1796	0.0	3
Alarm(_G_-ENTRY,get_method-12902)	0.85675	FalseGround	0	3	0.0	1769	0.0	5
Alarm(_G_-ENTRY,build_tree-14495)	0.848352	FalseGround	0	4	0.0	1754	0.0	5
Alarm(_G_-ENTRY,get_method-12908)	0.848255	FalseGround	0	5	0.0	1645	0.0	6
Alarm(_G_-ENTRY,compress_block-14782)	0.843056	FalseGround	0	6	0.0	1634	0.0	6
Alarm(_G_-ENTRY,inflate_dynamic-14072)	0.842703	FalseGround	0	7	0.0	1624	0.0	6
Alarm(_G_-ENTRY,inflate_dynamic-14053)	0.834802	FalseGround	0	8	0.0	1612	0.0	6
Alarm(_G_-ENTRY,ct_init-14252)	0.831213	FalseGround	0	9	0.0	1602	0.0	5
Alarm(_G_-ENTRY,ct_init-14262)	0.831213	FalseGround	0	10	0.0	1593	0.0	6
Alarm(_G_-ENTRY,get_method-12914)	0.821768	FalseGround	0	11	0.0	1584	0.0	6
Alarm(_G_-ENTRY,huft_build-13555)	0.817591	FalseGround	0	12	0.0	1553	0.0	6
Alarm(_G_-ENTRY,deflate-11835)	0.810406	FalseGround	0	13	0.0	1538	0.0	7
Alarm(_G_-ENTRY,huft_free-13636)	0.809	FalseGround	0	14	0.0	1516	0.0	7
Alarm(_G_-ENTRY,flush_block-14662)	0.808192	FalseGround	0	15	0.0	1508	0.0	7
Alarm(_G_-ENTRY,updcrc-15684)	0.807352	FalseGround	0	16	0.0	1500	0.0	7
Alarm(_G_-ENTRY,build_tree-14461)	0.798802	FalseGround	0	17	0.0	1492	0.0	7
Alarm(_G_-ENTRY,scan_tree-14541)	0.794301	FalseGround	0	18	0.0	1482	0.0	6
Alarm(_G_-ENTRY,compress_block-14772)	0.788554	FalseGround	0	19	0.0	1474	0.0	6
Alarm(_G_-ENTRY,ct_tally-14720)	0.784529	FalseGround	0	20	0.0	1462	0.0	7
Alarm(_G_-ENTRY,scan_tree-14539)	0.78046	FalseGround	0	21	0.0	1433	0.0	7
Alarm(_G_-ENTRY,inflate_dynamic-14029)	0.777906	FalseGround	0	22	0.0	1425	0.0	8
Alarm(_G_-ENTRY,inflate_codes-13735)	0.77459	FalseGround	0	23	0.0	1412	0.0	7
Alarm(_G_-ENTRY,huft_build-13557)	0.771554	FalseGround	0	24	0.0	1378	0.0	7
Alarm(_G_-ENTRY,gen_codes-14429)	0.767673	FalseGround	0	25	0.0	1369	0.0	7
Alarm(_G_-ENTRY,gen_bitlen-14388)	0.766016	FalseGround	0	26	0.0	1356	0.0	7
Alarm(_G_-ENTRY,compress_block-14783)	0.748253	FalseGround	0	27	0.0	1322	0.0	7
Alarm(_G_-ENTRY,shorten_name-13202)	0.748212	FalseGround	0	28	0.0	1283	0.0	9
Alarm(_G_-ENTRY,unzip-15577)	0.739037	FalseGround	0	29	0.0	1315	0.0	9
Alarm(_G_-ENTRY,scan_tree-14542)	0.734067	FalseGround	0	30	0.0	1306	0.0	9
Alarm(_G_-ENTRY,do_list-13103)	0.729	FalseGround	0	31	0.0	1298	0.0	9
Alarm(_G_-ENTRY,gen_bitlen-14396)	0.729	FalseGround	0	32	0.0	1289	0.0	9
Alarm(_G_-ENTRY,huft_build-13597)	0.728078	FalseGround	0	33	0.0	1277	0.0	9
Alarm(_G_-ENTRY,send_bits-11413)	0.711134	FalseGround	0	34	0.0	1265	0.0	9
Alarm(_G_-ENTRY,name_too_long-13153)	0.694627	TrueGround	1	34	0.02857142857142857	1257	0.0	9
Alarm(_G_-ENTRY,name_too_long-13160)	0.81	FalseGround	1	35	0.027777777777777776	1206	0.0	8
Alarm(_G_-ENTRY,build_tree-14463)	0.687127	FalseGround	1	36	0.02702702702702703	1199	0.0	8
Alarm(_G_-ENTRY,send_tree-14586)	0.679286	FalseGround	1	37	0.02631578947368421	1167	0.0	9
Alarm(_G_-ENTRY,ct_init-14270)	0.674127	FalseGround	1	38	0.02564102564102564	1159	0.0	9
Alarm(_G_-ENTRY,unpack-15437)	0.666317	FalseGround	1	39	0.025	1152	0.0	9
Alarm(_G_-ENTRY,huft_build-13554)	0.660918	FalseGround	1	40	0.024390243902439025	1137	0.0	9
Alarm(_G_-ENTRY,huft_build-13518)	0.6561	FalseGround	1	41	0.023809523809523808	1121	0.0	8
Alarm(_G_-ENTRY,huft_build-13591)	0.6561	FalseGround	1	42	0.023255813953488372	1114	0.0	9
Alarm(_G_-ENTRY,main-12093)	0.6561	FalseGround	1	43	0.022727272727272728	1107	0.0	9
Alarm(_G_-ENTRY,unlzw-15287)	0.653041	FalseGround	1	44	0.022222222222222223	1234	0.0	8
Alarm(_G_-ENTRY,inflate_codes-13707)	0.630995	FalseGround	1	45	0.021739130434782608	1215	0.0	10
Alarm(_G_-ENTRY,deflate_fast-11739)	0.616714	FalseGround	1	46	0.02127659574468085	1181	0.0	10
Alarm(_G_-ENTRY,compress_block-14766)	0.601255	FalseGround	1	47	0.020833333333333332	1144	0.0	11
Alarm(_G_-ENTRY,name_too_long-13151)	0.59049	TrueGround	2	47	0.04081632653061224	1129	0.0	10
Alarm(_G_-ENTRY,gen_codes-14430)	0.582128	FalseGround	2	48	0.04	1129	0.0	11
Alarm(_G_-ENTRY,ct_init-14255)	0.580469	FalseGround	2	49	0.0392156862745098	1121	0.0	10
Alarm(_G_-ENTRY,send_bits-11409)	0.575402	FalseGround	2	50	0.038461538461538464	1115	0.0	11
Alarm(_G_-ENTRY,make_ofname-12690)	0.574157	FalseGround	2	51	0.03773584905660377	1109	0.0	11
Alarm(_G_-ENTRY,zip-16087)	0.571968	FalseGround	2	52	0.037037037037037035	1137	0.0	10
Alarm(_G_-ENTRY,unlzw-15239)	0.562399	FalseGround	2	53	0.03636363636363636	1123	0.0	16
Alarm(_G_-ENTRY,unpack-15453)	0.54509	FalseGround	2	54	0.03571428571428571	1117	0.0	15
Alarm(_G_-ENTRY,ct_tally-14721)	0.535563	FalseGround	2	55	0.03508771929824561	1110	0.0	14
Alarm(_G_-ENTRY,shorten_name-13229)	0.532426	FalseGround	2	56	0.034482758620689655	1037	0.0	15
Alarm(_G_-ENTRY,unpack-15445)	0.513913	FalseGround	2	57	0.03389830508474576	1032	0.0	14
Alarm(_G_-ENTRY,huft_build-13603)	0.507359	FalseGround	2	58	0.03333333333333333	1008	0.0	18
Alarm(_G_-ENTRY,huft_build-13582)	0.48599	FalseGround	2	59	0.03278688524590164	999	0.0	17
Alarm(_G_-ENTRY,copy_block-11494)	0.481947	FalseGround	2	60	0.03225806451612903	985	0.0	17
Alarm(_G_-ENTRY,huft_build-13556)	0.463583	FalseGround	2	61	0.031746031746031744	970	0.0	16
Alarm(_G_-ENTRY,shorten_name-13199)	0.458323	TrueGround	3	61	0.046875	957	0.0	18
Alarm(_G_-ENTRY,send_tree-14590)	0.443101	FalseGround	3	62	0.046153846153846156	954	0.0	17
Alarm(_G_-ENTRY,inflate_block-14159)	0.435089	FalseGround	3	63	0.045454545454545456	949	0.0	19
Alarm(_G_-ENTRY,inflate_dynamic-14050)	0.426057	FalseGround	3	64	0.04477611940298507	944	0.0	16
Alarm(_G_-ENTRY,gen_bitlen-14389)	0.421842	FalseGround	3	65	0.04411764705882353	939	0.0	15
Alarm(_G_-ENTRY,compress_block-14769)	0.377073	FalseGround	3	66	0.043478260869565216	934	0.0	16
Alarm(_G_-ENTRY,inflate_codes-13785)	0.374326	FalseGround	3	67	0.04285714285714286	912	0.0	17
Alarm(_G_-ENTRY,read_tree-15376)	0.373623	FalseGround	3	68	0.04225352112676056	904	0.0	12
Alarm(_G_-ENTRY,build_tree-14437)	0.354295	FalseGround	3	69	0.041666666666666664	896	0.0	18
Alarm(_G_-ENTRY,inflate_block-14169)	0.34068	FalseGround	3	70	0.0410958904109589	855	0.0	17
Alarm(_G_-ENTRY,main-12062)	0.337883	FalseGround	3	71	0.04054054054054054	850	0.0	16
Alarm(_G_-ENTRY,get_suffix-12580)	0.33377	FalseGround	3	72	0.04	912	0.0	15
Alarm(_G_-ENTRY,longest_match-11653)	0.318441	FalseGround	3	73	0.039473684210526314	956	0.0	19
Alarm(_G_-ENTRY,main-12100)	0.313811	FalseGround	3	74	0.03896103896103896	931	0.0	16
Alarm(_G_-ENTRY,make_ofname-12696)	0.313811	FalseGround	3	75	0.038461538461538464	926	0.0	16
Alarm(_G_-ENTRY,make_ofname-12699)	0.313811	FalseGround	3	76	0.0379746835443038	921	0.0	16
Alarm(_G_-ENTRY,do_list-13104)	0.301804	FalseGround	3	77	0.0375	916	0.0	17
Alarm(_G_-ENTRY,inflate_dynamic-14060)	0.28919	FalseGround	3	78	0.037037037037037035	911	0.0	18
Alarm(_G_-ENTRY,build_tree-14488)	0.285163	FalseGround	3	79	0.036585365853658534	904	0.0	19
Alarm(_G_-ENTRY,unzip-15571)	0.266174	FalseGround	3	80	0.03614457831325301	800	0.0	18
Alarm(_G_-ENTRY,gen_bitlen-14398)	0.242103	FalseGround	3	81	0.03571428571428571	770	0.0	6
Alarm(_G_-ENTRY,deflate_fast-11728)	0.239871	FalseGround	3	82	0.03529411764705882	765	0.0	6
Alarm(_G_-ENTRY,copy_block-11504)	0.222164	FalseGround	3	83	0.03488372093023256	740	0.0	6
Alarm(_G_-ENTRY,inflate_dynamic-14075)	0.20358	FalseGround	3	84	0.034482758620689655	733	0.0	6
Alarm(_G_-ENTRY,read_tree-15385)	0.198807	FalseGround	3	85	0.03409090909090909	721	0.0	6
