Rank	Confidence	Ground	Label	Comments	Tuple
1	0.8538	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,scan_tree-14536)
2	0.657917	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,inflate_dynamic-14072)
3	0.621154	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,send_bits-11413)
4	0.567635	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,flush_block-14662)
5	0.563773	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,send_bits-11409)
6	0.563617	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,huft_free-13636)
7	0.563397	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,get_method-12851)
8	0.563397	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,get_method-12863)
9	0.563397	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,get_method-12884)
10	0.563397	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,get_method-12896)
11	0.563397	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,get_method-12902)
12	0.563397	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,get_method-12908)
13	0.563397	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,get_method-12914)
14	0.563397	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,get_method-12927)
15	0.563397	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,get_method-12933)
16	0.563397	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,get_method-12946)
17	0.562399	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,unlzw-15239)
18	0.552343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,scan_tree-14539)
19	0.547282	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,unlzw-15287)
20	0.51361	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,unpack-15428)
21	0.51361	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,unpack-15437)
22	0.51361	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,unpack-15445)
23	0.506814	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,get_method-12845)
24	0.506814	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,get_method-12857)
25	0.506814	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,get_method-12875)
26	0.506814	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,get_method-12940)
27	0.506814	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,get_method-12958)
28	0.506814	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,get_method-12966)
29	0.506814	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,get_method-12976)
30	0.499758	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,build_tree-14461)
31	0.499758	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,build_tree-14463)
32	0.499758	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,compress_block-14770)
33	0.499758	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,compress_block-14772)
34	0.499758	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,scan_tree-14541)
35	0.499758	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,scan_tree-14542)
36	0.498857	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,unzip-15577)
37	0.490952	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,updcrc-15684)
38	0.490123	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,deflate_fast-11739)
39	0.477155	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,inflate_dynamic-14053)
40	0.474466	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,ct_tally-14720)
41	0.474466	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,ct_tally-14721)
42	0.474466	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,ct_tally-14723)
