Rank	Confidence	Ground	Label	Comments	Tuple
1	0.59073	FalseGround	Unlabelled	SPOkGoodGood	Alarm(main-44350,fprintRTF-45668)
2	0.313811	FalseGround	Unlabelled	SPOkGoodGood	Alarm(getPngChunk-26897,getPngChunk-26908)
3	0.153774	FalseGround	Unlabelled	SPOkGoodGood	Alarm(main-44350,my_strndup-43724)
4	0.0191676	FalseGround	Unlabelled	SPOkGoodGood	Alarm(getTmpPath-45709,fprintRTF-45668)
5	0.0110337	TrueGround	Unlabelled	SPOkGoodGood	Alarm(getRawTexChar-42915,fprintRTF-45668)
6	0.00791614	FalseGround	Unlabelled	SPOkGoodGood	Alarm(getTmpPath-45709,my_strndup-43724)
7	0.00522911	FalseGround	Unlabelled	SPOkGoodGood	Alarm(open_env-45850,fprintRTF-45668)
8	0.00363926	TrueGround	Unlabelled	SPOkGoodGood	Alarm(getRawTexChar-42922,fprintRTF-45668)
9	0.0024996	FalseGround	Unlabelled	SPOkGoodGood	Alarm(my_fgetc-44300,fprintRTF-45668)
10	0.000413158	FalseGround	Unlabelled	SPOkGoodGood	Alarm(open_env-45850,my_strndup-43724)
11	0.000196672	FalseGround	Unlabelled	SPOkGoodGood	Alarm(getRawTexChar-42922,my_strndup-43724)
12	3.72669e-05	FalseGround	Unlabelled	SPOkGoodGood	Alarm(getRawTexChar-42915,my_strndup-43724)
13	3.71294e-09	FalseGround	Unlabelled	SPOkGoodGood	Alarm(my_fgetc-44300,my_strndup-43724)
