Rank	Confidence	Ground	Label	Comments	Tuple
1	0.581769	FalseGround	Unlabelled	SPOkGoodGood	Alarm(main-44350,fprintRTF-45668)
2	0.313811	FalseGround	Unlabelled	SPOkGoodGood	Alarm(getPngChunk-26897,getPngChunk-26908)
3	0.0167351	FalseGround	Unlabelled	SPOkGoodGood	Alarm(getTmpPath-45709,fprintRTF-45668)
4	0.0110337	TrueGround	Unlabelled	SPOkGoodGood	Alarm(getRawTexChar-42915,fprintRTF-45668)
5	0.00444326	FalseGround	Unlabelled	SPOkGoodGood	Alarm(open_env-45850,fprintRTF-45668)
6	0.0024996	FalseGround	Unlabelled	SPOkGoodGood	Alarm(my_fgetc-44300,fprintRTF-45668)
7	0.00222605	TrueGround	Unlabelled	SPOkGoodGood	Alarm(getRawTexChar-42922,fprintRTF-45668)
8	0.000302159	FalseGround	Unlabelled	SPOkGoodGood	Alarm(main-44350,my_strndup-43724)
9	6.93575e-06	FalseGround	Unlabelled	SPOkGoodGood	Alarm(getTmpPath-45709,my_strndup-43724)
10	6.79399e-06	FalseGround	Unlabelled	SPOkGoodGood	Alarm(getRawTexChar-42915,my_strndup-43724)
11	8.18889e-08	FalseGround	Unlabelled	SPOkGoodGood	Alarm(getRawTexChar-42922,my_strndup-43724)
12	8.0833e-08	FalseGround	Unlabelled	SPOkGoodGood	Alarm(open_env-45850,my_strndup-43724)
13	1.51915e-13	FalseGround	Unlabelled	SPOkGoodGood	Alarm(my_fgetc-44300,my_strndup-43724)
