Rank	Confidence	Ground	Label	Comments	Tuple
1	0.112247	FalseGround	Unlabelled	SPOkGoodGood	Alarm(opng_copy_png-36333,png_malloc-31091)
2	0.0984771	FalseGround	Unlabelled	SPOkGoodGood	Alarm(minitiff_read_info-31881,minitiff_read_info-31947)
3	0.0984771	TrueGround	Unlabelled	SPOkGoodGood	Alarm(minitiff_read_info-31886,minitiff_read_info-31947)
4	0.0969082	FalseGround	Unlabelled	SPOkGoodGood	Alarm(minitiff_read_info-31863,minitiff_read_info-31947)
5	0.0720108	FalseGround	Unlabelled	SPOkGoodGood	Alarm(opng_copy_png-36320,png_malloc-31091)
6	0.0630712	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pngx_read_bmp-33177,png_malloc-31091)
7	0.0409548	FalseGround	Unlabelled	SPOkGoodGood	Alarm(opng_copy_png-36329,png_malloc-31091)
8	0.0364401	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pngx_read_external-33016,png_malloc-31091)
9	0.0266857	FalseGround	Unlabelled	SPOkGoodGood	Alarm(minitiff_read_info-31863,png_malloc-31091)
10	0.0266857	FalseGround	Unlabelled	SPOkGoodGood	Alarm(minitiff_read_info-31929,png_malloc-31091)
11	0.0247193	FalseGround	Unlabelled	SPOkGoodGood	Alarm(minitiff_read_info-31886,png_malloc-31091)
12	0.0195926	FalseGround	Unlabelled	SPOkGoodGood	Alarm(GIFReadScreen-33462,png_malloc-31091)
13	0.018086	FalseGround	Unlabelled	SPOkGoodGood	Alarm(read_ulong_values-31694,minitiff_read_info-31947)
14	0.0104294	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pngx_read_bmp-33166,png_malloc-31091)
15	0.0104294	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pngx_read_bmp-33169,png_malloc-31091)
16	0.00753682	FalseGround	Unlabelled	SPOkGoodGood	Alarm(minitiff_read_info-31881,png_malloc-31091)
17	0.00572602	FalseGround	Unlabelled	SPOkGoodGood	Alarm(png_default_read_data-29685,png_malloc-31091)
18	0.00535444	FalseGround	Unlabelled	SPOkGoodGood	Alarm(GIFReadScreen-33455,png_malloc-31091)
19	0.00428499	FalseGround	Unlabelled	SPOkGoodGood	Alarm(minitiff_read_info-31929,minitiff_read_info-31947)
20	0.0025658	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pngx_read_bmp-33177,pngx_zmalloc-33049)
21	0.00163109	FalseGround	Unlabelled	SPOkGoodGood	Alarm(read_ulong_values-31694,png_malloc-31091)
22	0.00161731	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pngx_read_external-33016,pngx_zmalloc-33049)
23	0.0012822	FalseGround	Unlabelled	SPOkGoodGood	Alarm(minitiff_read_row-32018,png_malloc-31091)
24	0.000871503	FalseGround	Unlabelled	SPOkGoodGood	Alarm(opng_copy_png-36315,png_malloc-31091)
25	0.000850121	FalseGround	Unlabelled	SPOkGoodGood	Alarm(main-37598,png_malloc-31091)
26	0.000585111	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pngx_read_bmp-33243,png_malloc-31091)
27	0.000488951	FalseGround	Unlabelled	SPOkGoodGood	Alarm(opng_read_write_data-35762,png_malloc-31091)
28	0.000387137	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pngx_read_bmp-33166,pngx_zmalloc-33049)
29	0.00032907	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pnm_read_header-32264,png_malloc-31091)
30	0.000310167	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pnm_getchar-32191,png_malloc-31091)
31	3.64354e-05	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pngx_read_bmp-33169,pngx_zmalloc-33049)
32	1.57814e-05	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pnm_read_row-32371,png_malloc-31091)
33	1.1056e-05	FalseGround	Unlabelled	SPOkGoodGood	Alarm(GIFReadNextImage-33561,png_malloc-31091)
34	2.15737e-06	FalseGround	Unlabelled	SPOkGoodGood	Alarm(ReadImageData-33850,png_malloc-31091)
35	1.36272e-06	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pnm_read_row-32366,png_malloc-31091)
36	1.36267e-06	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pnm_read_row-32352,png_malloc-31091)
37	1.36266e-06	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pnm_read_row-32373,png_malloc-31091)
38	7.82446e-07	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pnm_getchar-32190,png_malloc-31091)
39	7.04202e-07	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pnm_getchar-32188,png_malloc-31091)
40	4.88765e-07	FalseGround	Unlabelled	SPOkGoodGood	Alarm(opng_copy_png-36333,pngx_zmalloc-33049)
41	2.60379e-07	FalseGround	Unlabelled	SPOkGoodGood	Alarm(GIFReadScreen-33462,pngx_zmalloc-33049)
42	1.18595e-07	FalseGround	Unlabelled	SPOkGoodGood	Alarm(minitiff_read_info-31863,pngx_zmalloc-33049)
43	1.18595e-07	FalseGround	Unlabelled	SPOkGoodGood	Alarm(minitiff_read_info-31929,pngx_zmalloc-33049)
44	5.93373e-08	FalseGround	Unlabelled	SPOkGoodGood	Alarm(opng_copy_png-36329,pngx_zmalloc-33049)
45	4.63975e-08	FalseGround	Unlabelled	SPOkGoodGood	Alarm(opng_copy_png-36320,pngx_zmalloc-33049)
46	4.58282e-08	FalseGround	Unlabelled	SPOkGoodGood	Alarm(minitiff_read_info-31886,pngx_zmalloc-33049)
47	4.46033e-08	FalseGround	Unlabelled	SPOkGoodGood	Alarm(GIFReadScreen-33455,pngx_zmalloc-33049)
48	3.01188e-08	FalseGround	Unlabelled	SPOkGoodGood	Alarm(ReadDataBlock-33647,png_malloc-31091)
49	1.43785e-08	FalseGround	Unlabelled	SPOkGoodGood	Alarm(main-37598,pngx_zmalloc-33049)
50	1.22364e-08	FalseGround	Unlabelled	SPOkGoodGood	Alarm(minitiff_read_info-31881,pngx_zmalloc-33049)
51	1.02289e-09	FalseGround	Unlabelled	SPOkGoodGood	Alarm(opng_read_write_data-35762,pngx_zmalloc-33049)
52	8.46674e-10	FalseGround	Unlabelled	SPOkGoodGood	Alarm(png_default_read_data-29685,pngx_zmalloc-33049)
53	8.16265e-10	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pnm_read_header-32264,pngx_zmalloc-33049)
54	2.34013e-10	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pnm_getchar-32191,pngx_zmalloc-33049)
55	2.05699e-10	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pngx_read_bmp-33243,pngx_zmalloc-33049)
56	1.93947e-10	FalseGround	Unlabelled	SPOkGoodGood	Alarm(read_ulong_values-31694,pngx_zmalloc-33049)
57	2.15536e-11	FalseGround	Unlabelled	SPOkGoodGood	Alarm(opng_copy_png-36315,pngx_zmalloc-33049)
58	7.79284e-14	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pnm_getchar-32190,pngx_zmalloc-33049)
59	7.01356e-14	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pnm_getchar-32188,pngx_zmalloc-33049)
60	2.84009e-15	FalseGround	Unlabelled	SPOkGoodGood	Alarm(minitiff_read_row-32018,pngx_zmalloc-33049)
61	1.91894e-16	FalseGround	Unlabelled	SPOkGoodGood	Alarm(GIFReadNextImage-33561,pngx_zmalloc-33049)
62	2.20823e-17	FalseGround	Unlabelled	SPOkGoodGood	Alarm(ReadImageData-33850,pngx_zmalloc-33049)
63	7.55851e-19	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pnm_read_row-32371,pngx_zmalloc-33049)
64	1.31463e-20	FalseGround	Unlabelled	SPOkGoodGood	Alarm(ReadDataBlock-33647,pngx_zmalloc-33049)
