Rank	Confidence	Ground	Label	Comments	Tuple
1	0.0984771	FalseGround	Unlabelled	SPOkGoodGood	Alarm(minitiff_read_info-31881,minitiff_read_info-31947)
2	0.0984771	TrueGround	Unlabelled	SPOkGoodGood	Alarm(minitiff_read_info-31886,minitiff_read_info-31947)
3	0.0969082	FalseGround	Unlabelled	SPOkGoodGood	Alarm(minitiff_read_info-31863,minitiff_read_info-31947)
4	0.018086	FalseGround	Unlabelled	SPOkGoodGood	Alarm(read_ulong_values-31694,minitiff_read_info-31947)
5	0.00428499	FalseGround	Unlabelled	SPOkGoodGood	Alarm(minitiff_read_info-31929,minitiff_read_info-31947)
6	0.0025658	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pngx_read_bmp-33177,pngx_zmalloc-33049)
7	0.00161731	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pngx_read_external-33016,pngx_zmalloc-33049)
8	0.000955005	FalseGround	Unlabelled	SPOkGoodGood	Alarm(opng_copy_png-36333,png_malloc-31091)
9	0.000387137	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pngx_read_bmp-33166,pngx_zmalloc-33049)
10	0.000143341	FalseGround	Unlabelled	SPOkGoodGood	Alarm(opng_copy_png-36329,png_malloc-31091)
11	0.000143341	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pngx_read_external-33016,png_malloc-31091)
12	0.000134472	FalseGround	Unlabelled	SPOkGoodGood	Alarm(opng_copy_png-36320,png_malloc-31091)
13	0.000134472	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pngx_read_bmp-33177,png_malloc-31091)
14	3.64354e-05	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pngx_read_bmp-33169,pngx_zmalloc-33049)
15	3.37505e-05	FalseGround	Unlabelled	SPOkGoodGood	Alarm(GIFReadScreen-33462,png_malloc-31091)
16	1.78927e-05	FalseGround	Unlabelled	SPOkGoodGood	Alarm(minitiff_read_info-31863,png_malloc-31091)
17	1.78927e-05	FalseGround	Unlabelled	SPOkGoodGood	Alarm(minitiff_read_info-31929,png_malloc-31091)
18	1.74269e-05	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pngx_read_bmp-33166,png_malloc-31091)
19	1.74269e-05	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pngx_read_bmp-33169,png_malloc-31091)
20	9.615e-06	FalseGround	Unlabelled	SPOkGoodGood	Alarm(minitiff_read_info-31886,png_malloc-31091)
21	4.76843e-06	FalseGround	Unlabelled	SPOkGoodGood	Alarm(GIFReadScreen-33455,png_malloc-31091)
22	4.16404e-06	FalseGround	Unlabelled	SPOkGoodGood	Alarm(png_default_read_data-29685,png_malloc-31091)
23	2.64514e-06	FalseGround	Unlabelled	SPOkGoodGood	Alarm(minitiff_read_info-31881,png_malloc-31091)
24	7.76198e-07	FalseGround	Unlabelled	SPOkGoodGood	Alarm(main-37598,png_malloc-31091)
25	7.18701e-07	FalseGround	Unlabelled	SPOkGoodGood	Alarm(minitiff_read_row-32018,png_malloc-31091)
26	4.56389e-07	FalseGround	Unlabelled	SPOkGoodGood	Alarm(opng_copy_png-36333,pngx_zmalloc-33049)
27	2.636e-07	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pngx_read_bmp-33243,png_malloc-31091)
28	2.07056e-07	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pnm_read_header-32264,png_malloc-31091)
29	1.71029e-07	FalseGround	Unlabelled	SPOkGoodGood	Alarm(GIFReadScreen-33462,pngx_zmalloc-33049)
30	1.36891e-07	FalseGround	Unlabelled	SPOkGoodGood	Alarm(opng_read_write_data-35762,png_malloc-31091)
31	1.17244e-07	FalseGround	Unlabelled	SPOkGoodGood	Alarm(opng_copy_png-36315,png_malloc-31091)
32	1.11668e-07	FalseGround	Unlabelled	SPOkGoodGood	Alarm(read_ulong_values-31694,png_malloc-31091)
33	1.01743e-07	FalseGround	Unlabelled	SPOkGoodGood	Alarm(pnm_getchar-32191,png_malloc-31091)
34	6.05803e-08	FalseGround	Unlabelled	SPOkGoodGood	Alarm(minitiff_read_info-31863,pngx_zmalloc-33049)
35	6.05803e-08	FalseGround	Unlabelled	SPOkGoodGood	Alarm(minitiff_read_info-31929,pngx_zmalloc-33049)
36	5.43323e-08	FalseGround	Unlabelled	SPOkGoodGood	Alarm(opng_copy_png-36329,pngx_zmalloc-33049)
37	4.17623e-08	FalseGround	Unlabelled	SPOkGoodGood	Alarm(opng_copy_png-36320,pngx_zmalloc-33049)
38	2.82496e-08	FalseGround	Unlabelled	SPOkGoodGood	Alarm(GIFReadScreen-33455,pngx_zmalloc-33049)
39	2.11022e-08	FalseGround	Unlabelled	SPOkGoodGood	Alarm(minitiff_read_info-31886,pngx_zmalloc-33049)
40	1.43785e-08	FalseGround	Unlabelled	SPOkGoodGood	Alarm(main-37598,pngx_zmalloc-33049)
41	5.59447e-09	FalseGround	Unlabelled	SPOkGoodGood	Alarm(minitiff_read_info-31881,pngx_zmalloc-33049)
