Tuple	Confidence	Ground	NumTrue	NumFalse	Fraction	InversionCount	YetToConvergeFraction	Time(s)
Alarm(_G_-ENTRY,get_charset_aliases-33609)	0.812598	FalseGround	0	1	0.0	468	0.0	1
Alarm(_G_-ENTRY,compile_program-67622)	0.764253	FalseGround	0	2	0.0	457	0.0	3
Alarm(_G_-ENTRY,merge_constrained-50757)	0.764253	FalseGround	0	3	0.0	456	0.0	3
Alarm(_G_-ENTRY,parse_bracket_exp-44122)	0.745757	FalseGround	0	4	0.0	455	0.0	3
Alarm(_G_-ENTRY,copy-47072)	0.737616	FalseGround	0	5	0.0	454	0.0	3
Alarm(_G_-ENTRY,state_index-51928)	0.717736	FalseGround	0	6	0.0	453	0.0	3
Alarm(_G_-ENTRY,merge_constrained-50749)	0.678498	FalseGround	0	7	0.0	452	0.0	8
Alarm(_G_-ENTRY,translate_mb-65604)	0.657917	FalseGround	0	8	0.0	451	0.0	8
Alarm(_G_-ENTRY,dfamust-62804)	0.645842	FalseGround	0	9	0.0	450	0.0	8
Alarm(_G_-ENTRY,str_append-64579)	0.64184	FalseGround	0	10	0.0	449	0.0	7
Alarm(_G_-ENTRY,compile_program-67647)	0.585675	FalseGround	0	11	0.0	463	0.0	8
Alarm(_G_-ENTRY,merge_constrained-50762)	0.566587	FalseGround	0	12	0.0	463	0.0	7
Alarm(_G_-ENTRY,parse_bracket_exp-43254)	0.562399	FalseGround	0	13	0.0	461	0.0	9
Alarm(_G_-ENTRY,normalize_text-68439)	0.557972	FalseGround	0	14	0.0	460	0.0	7
Alarm(_G_-ENTRY,setbit-33830)	0.557221	FalseGround	0	15	0.0	458	0.0	9
Alarm(_G_-ENTRY,state_index-51930)	0.554689	FalseGround	0	16	0.0	457	0.0	8
Alarm(_G_-ENTRY,normalize_text-68443)	0.520818	FalseGround	0	17	0.0	454	0.0	6
Alarm(_G_-ENTRY,new_replacement-66867)	0.516959	FalseGround	0	18	0.0	453	0.0	6
Alarm(_G_-ENTRY,compile_program-67664)	0.499758	FalseGround	0	19	0.0	453	0.0	6
Alarm(_G_-ENTRY,quotearg_buffer_restyled-32641)	0.462383	FalseGround	0	20	0.0	451	0.0	6
Alarm(_G_-ENTRY,normalize_text-68433)	0.457025	FalseGround	0	21	0.0	450	0.0	6
Alarm(_G_-ENTRY,state_index-52673)	0.432647	FalseGround	0	22	0.0	449	0.0	5
Alarm(_G_-ENTRY,clrbit-33831)	0.403833	FalseGround	0	23	0.0	448	0.0	6
Alarm(_G_-ENTRY,state_index-51921)	0.373623	FalseGround	0	24	0.0	447	0.0	6
Alarm(_G_-ENTRY,translate_mb-65623)	0.373623	FalseGround	0	25	0.0	446	0.0	6
Alarm(_G_-ENTRY,compile_program-67665)	0.370862	FalseGround	0	26	0.0	445	0.0	6
Alarm(_G_-ENTRY,get_charset_aliases-33610)	0.347801	FalseGround	0	27	0.0	444	0.0	6
Alarm(_G_-ENTRY,setup_replacement-66881)	0.341064	FalseGround	0	28	0.0	443	0.0	6
Alarm(_G_-ENTRY,normalize_text-68447)	0.336749	FalseGround	0	29	0.0	439	0.0	6
Alarm(_G_-ENTRY,compile_program-67154)	0.325121	FalseGround	0	30	0.0	438	0.0	6
Alarm(_G_-ENTRY,execute_program-65724)	0.316716	FalseGround	0	31	0.0	429	0.0	6
Alarm(_G_-ENTRY,insert-48210)	0.316055	FalseGround	0	32	0.0	399	0.0	6
Alarm(_G_-ENTRY,build_state-57242)	0.313811	FalseGround	0	33	0.0	393	0.0	6
Alarm(_G_-ENTRY,build_state-57314)	0.313811	FalseGround	0	34	0.0	392	0.0	6
Alarm(_G_-ENTRY,ck_fclose-63418)	0.313811	FalseGround	0	35	0.0	391	0.0	6
Alarm(_G_-ENTRY,compile_program-67710)	0.313811	FalseGround	0	36	0.0	391	0.0	6
Alarm(_G_-ENTRY,dfaanalyze-53006)	0.313811	FalseGround	0	37	0.0	385	0.0	6
Alarm(_G_-ENTRY,dfaexec_main-61358)	0.313811	FalseGround	0	38	0.0	384	0.0	6
Alarm(_G_-ENTRY,dfaexec_main-61430)	0.313811	FalseGround	0	39	0.0	383	0.0	6
Alarm(_G_-ENTRY,execute_program-65847)	0.313811	FalseGround	0	40	0.0	382	0.0	6
Alarm(_G_-ENTRY,execute_program-65884)	0.313811	FalseGround	0	41	0.0	381	0.0	6
Alarm(_G_-ENTRY,get_charset_aliases-33611)	0.313811	FalseGround	0	42	0.0	380	0.0	6
Alarm(_G_-ENTRY,realloc_trans_if_necessary-55239)	0.313811	FalseGround	0	43	0.0	379	0.0	7
