Rank	Confidence	Ground	Label	Comments	Tuple
1	0.812598	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,get_charset_aliases-33609)
2	0.764253	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,compile_program-67622)
3	0.764253	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,merge_constrained-50757)
4	0.764253	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,merge_constrained-50762)
5	0.745757	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,parse_bracket_exp-44122)
6	0.737616	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,copy-47072)
7	0.733483	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-51928)
8	0.733483	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-51930)
9	0.704376	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,compile_program-67647)
10	0.704376	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,compile_program-67649)
11	0.678498	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,merge_constrained-50749)
12	0.657917	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,translate_mb-65604)
13	0.651398	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-50839)
14	0.651398	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-50840)
15	0.651398	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-50845)
16	0.651398	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-50846)
17	0.64945	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-52651)
18	0.64945	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-52671)
19	0.64945	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-52675)
20	0.64945	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-52676)
21	0.64945	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-52677)
22	0.645842	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,dfamust-62804)
23	0.64184	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,str_append-64579)
24	0.614809	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-50831)
25	0.614809	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-50832)
26	0.614809	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-50833)
27	0.614809	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,state_index-50834)
28	0.562399	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,parse_bracket_exp-43254)
29	0.557972	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,normalize_text-68439)
30	0.557972	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,normalize_text-68443)
