Rank	Confidence	Ground	Label	Comments	Tuple
1	0.0621615	FalseGround	Unlabelled	SPOkGoodGood	Alarm(main-20204,process___10-17718)
2	0.0056016	TrueGround	Unlabelled	SPOkGoodGood	Alarm(read_value_long-23093,shift_comparison-13474)
3	0.00501661	FalseGround	Unlabelled	SPOkGoodGood	Alarm(main-20204,process___11-18333)
4	0.00501661	FalseGround	Unlabelled	SPOkGoodGood	Alarm(main-20204,process___8-15778)
5	0.00190845	FalseGround	Unlabelled	SPOkGoodGood	Alarm(read_value_long-23093,cat_file-13832)
6	0.00190845	FalseGround	Unlabelled	SPOkGoodGood	Alarm(read_value_long-23093,conv_file-12439)
7	0.00190845	FalseGround	Unlabelled	SPOkGoodGood	Alarm(read_value_long-23093,generate_audio_hash_composite-17552)
8	0.00190845	FalseGround	Unlabelled	SPOkGoodGood	Alarm(read_value_long-23093,generate_audio_hash_single-17480)
9	0.00190845	FalseGround	Unlabelled	SPOkGoodGood	Alarm(read_value_long-23093,pad_file-15998)
10	0.00190845	FalseGround	Unlabelled	SPOkGoodGood	Alarm(read_value_long-23093,strip_and_canonicize-11563)
11	0.00190845	FalseGround	Unlabelled	SPOkGoodGood	Alarm(read_value_long-23093,trim_file-10950)
12	0.000563921	FalseGround	Unlabelled	SPOkGoodGood	Alarm(main-20204,st_snprintf-21174)
13	0.000384734	TrueGround	Unlabelled	SPOkGoodGood	Alarm(read_value_short-23108,shift_comparison-13474)
14	0.000213439	TrueGround	Unlabelled	SPOkGoodGood	Alarm(main-20204,shift_comparison-13474)
15	3.02825e-05	FalseGround	Unlabelled	SPOkGoodGood	Alarm(get_length_token-14864,shift_comparison-13474)
16	3.02825e-05	FalseGround	Unlabelled	SPOkGoodGood	Alarm(get_length_token-14937,shift_comparison-13474)
17	2.33367e-05	FalseGround	Unlabelled	SPOkGoodGood	Alarm(read_value_long-23093,reopen_input_file-18007)
18	7.49994e-06	TrueGround	Unlabelled	SPOkGoodGood	Alarm(read_value_long-23093,cmp_files-13267)
19	5.28489e-06	FalseGround	Unlabelled	SPOkGoodGood	Alarm(get_length_token-14940,shift_comparison-13474)
20	5.28489e-06	FalseGround	Unlabelled	SPOkGoodGood	Alarm(get_length_token-14944,shift_comparison-13474)
21	3.22356e-07	FalseGround	Unlabelled	SPOkGoodGood	Alarm(read_value_long-23093,discard_header-22074)
22	2.08652e-07	TrueGround	Unlabelled	SPOkGoodGood	Alarm(read_value_short-23108,cmp_files-13267)
23	1.505e-07	TrueGround	Unlabelled	SPOkGoodGood	Alarm(main-20204,cmp_files-13267)
