Rank	Confidence	Ground	Label	Comments	Tuple
1	0.899308	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,vasnprintf-88661)
2	0.888548	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,vasnprintf-88172)
3	0.88143	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,fillbuf___7-116677)
4	0.880513	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,check-117728)
5	0.880195	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,mergefps-118203)
6	0.880195	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,mergefps-118204)
7	0.873902	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,mergefps-118337)
8	0.870343	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,mergefps-118303)
9	0.870306	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,fillbuf___7-116658)
10	0.864401	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,vasnprintf-88017)
11	0.864401	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,vasnprintf-88018)
12	0.864236	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,fillbuf___7-116626)
13	0.864236	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,fillbuf___7-116627)
14	0.860653	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,vasnprintf-88170)
15	0.859749	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,vasnprintf-88462)
16	0.859749	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,vasnprintf-88472)
17	0.848628	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,verrevcmp-83400)
18	0.848352	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,merge-118651)
19	0.848016	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,fillbuf___7-116662)
20	0.84752	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,check-117698)
21	0.846406	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,check-117697)
22	0.843686	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,sort-118816)
23	0.842194	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,readtoken-107010)
24	0.841519	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,mergefps-118336)
25	0.833041	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,fillbuf___7-116673)
26	0.831063	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,readtoken-107013)
27	0.829892	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,vasnprintf-88613)
28	0.827061	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,fillbuf___7-116705)
29	0.823225	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,filevercmp-83464)
30	0.822585	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,sortlines_temp-118497)
31	0.82008	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,vasnprintf-88178)
