Rank	Confidence	Ground	Label	Comments	Tuple
1	0.899898	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,mode_compile-143178)
2	0.894884	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,mode_compile-143175)
3	0.885971	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,streamsavedir-130253)
4	0.881081	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,mode_compile-143171)
5	0.853833	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,tar_help_filter-163411)
6	0.851364	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,read_name_from_file-171102)
7	0.846405	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,streamsavedir-130240)
8	0.844608	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,add_hierarchy_to_namelist-172248)
9	0.842194	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,chdir_arg-173919)
10	0.840061	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,read_name_from_file-171132)
11	0.832655	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,expand_pax_option-163649)
12	0.827622	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,streamsavedir-130190)
13	0.82762	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,streamsavedir-130191)
14	0.8263	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,create_archive-188596)
15	0.822682	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,add_hierarchy_to_namelist-172244)
16	0.822677	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,add_exclude_fp-150356)
17	0.820442	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,append_incremental_renames-178116)
18	0.817591	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,collect_and_sort_names-172652)
19	0.812255	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,expand_pax_option-163656)
20	0.809913	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,mode_compile-143172)
21	0.809913	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,mode_compile-143173)
22	0.809913	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,mode_compile-143174)
23	0.809913	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,mode_compile-143098)
24	0.809913	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,mode_compile-143099)
25	0.809913	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,mode_compile-143100)
26	0.809913	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,mode_compile-143101)
27	0.800643	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,decode_options-166449)
28	0.800643	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,read_num-178759)
29	0.800643	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,read_num-178769)
30	0.798802	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,normalize_filename_x-173038)
31	0.794301	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,new_name-172763)
32	0.794301	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,new_name-172765)
