Rank	Confidence	Ground	Label	Comments	Tuple
1	0.891008	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,mode_compile-143178)
2	0.8538	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,tar_help_filter-163411)
3	0.837994	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,streamsavedir-130253)
4	0.820098	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,mode_compile-143175)
5	0.801677	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,streamsavedir-130190)
6	0.801677	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,streamsavedir-130191)
7	0.801677	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,streamsavedir-130240)
8	0.794003	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,tar_help_filter-163395)
9	0.794003	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,tar_help_filter-163496)
10	0.78776	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,expand_pax_option-163649)
11	0.764253	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,add_exclude_fp-150356)
12	0.747505	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,process_long_option-146884)
13	0.747505	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,process_long_option-146890)
14	0.741872	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,mode_compile-143171)
15	0.704376	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,expand_pax_option-163656)
16	0.704376	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,tar_help_filter-163426)
17	0.657917	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,mfile_name_concat-149616)
18	0.657917	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,process_long_option-146846)
19	0.645842	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,acls_one_line-159687)
20	0.645842	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,append_incremental_renames-178116)
21	0.645842	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,expand_pax_option-163622)
22	0.645842	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,expand_pax_option-163641)
