Tuple	Confidence	Ground	NumTrue	NumFalse	Fraction	InversionCount	YetToConvergeFraction	Time(s)
ptsVH(36296,1)	0.877303	TrueGround	1	0	1.0	95847433	0.0	1818.388892173767
ptsVH(36297,1)	0.938277	TrueGround	2	0	1.0	95933677	0.0	1669.6953601837158
ptsVH(36298,1)	0.938277	TrueGround	3	0	1.0	95477091	0.0	1840.1600217819214
ptsVH(36299,2)	0.896156	TrueGround	4	0	1.0	96126562	0.0	1790.1033186912537
ptsVH(36300,2)	0.938277	TrueGround	5	0	1.0	94953304	0.0	1891.6435317993164
ptsVH(36301,2)	0.938277	TrueGround	6	0	1.0	95862857	0.0	1687.8682599067688
ptsVH(36302,3)	0.896156	TrueGround	7	0	1.0	95359803	0.0	2009.3829653263092
ptsVH(36303,3)	0.938277	TrueGround	8	0	1.0	95106948	0.0	2157.5464458465576
ptsVH(36309,4)	0.896156	TrueGround	9	0	1.0	95281542	0.0	2159.3988506793976
ptsVH(36310,4)	0.938277	TrueGround	10	0	1.0	95466260	0.0	1942.4668896198273
ptsVH(32382,3008)	0.874099	TrueGround	11	0	1.0	95137288	0.0	2098.3842301368713
ptsVH(32383,3008)	0.938277	TrueGround	12	0	1.0	94521173	0.0	2631.3304586410522
ptsVH(36236,2)	0.796267	TrueGround	13	0	1.0	94310769	0.0	2509.936852455139
ptsVH(36237,3190)	0.877342	TrueGround	14	0	1.0	95131870	0.0	2378.767204284668
ptsVH(36238,3190)	0.938277	TrueGround	15	0	1.0	94692971	0.0	2713.122022151947
ptsVH(36239,3190)	0.938277	TrueGround	16	0	1.0	93966401	0.0	2654.9244589805603
ptsVH(36242,3191)	0.896156	TrueGround	17	0	1.0	93723022	0.0	2654.048894405365
ptsVH(36243,3191)	0.938277	TrueGround	18	0	1.0	94375680	0.0	2595.0493655204773
ptsVH(36244,3)	0.796267	TrueGround	19	0	1.0	94008613	0.0	2610.109377384186
ptsVH(36249,3192)	0.877342	TrueGround	20	0	1.0	94457256	0.0	2658.1025247573853
ptsVH(36250,3192)	0.938277	TrueGround	21	0	1.0	94708047	0.0	2352.098335981369
ptsVH(36254,3192)	0.938277	TrueGround	22	0	1.0	93640204	0.0	2533.9426419734955
ptsVH(36251,3193)	0.896156	TrueGround	23	0	1.0	93968054	0.0	2656.4165472984314
ptsVH(36252,3193)	0.938277	TrueGround	24	0	1.0	94237358	0.0	2656.916220664978
ptsVH(36255,3194)	0.896156	TrueGround	25	0	1.0	94613736	0.0	2610.01153421402
ptsVH(36256,3194)	0.938277	TrueGround	26	0	1.0	93318959	0.0	2554.7222669124603
