Tuple	Confidence	Ground	NumTrue	NumFalse	Fraction	InversionCount	YetToConvergeFraction	Time(s)
ptsVH(14326,1)	0.877303	TrueGround	1	0	1.0	30627805	0.0	448.5556993484497
ptsVH(14327,1)	0.938277	TrueGround	2	0	1.0	30921840	0.0	495.801109790802
ptsVH(14337,2)	0.896156	TrueGround	3	0	1.0	30768357	0.0	446.918119430542
ptsVH(14338,2)	0.938277	TrueGround	4	0	1.0	30866830	0.0	397.83044719696045
ptsVH(14339,2)	0.938277	TrueGround	5	0	1.0	30804633	0.0	410.3189070224762
ptsVH(17594,1692)	0.751413	TrueGround	6	0	1.0	30894167	0.0	408.86711263656616
ptsVH(17595,1692)	0.938277	TrueGround	7	0	1.0	30962664	0.0	1348.2964918613434
ptsVH(14299,2)	0.71506	TrueGround	8	0	1.0	30962681	0.0	1496.8839831352234
ptsVH(14304,2)	0.75588	TrueGround	9	0	1.0	30900856	0.0	910.997175693512
ptsVH(14307,1400)	0.866857	TrueGround	10	0	1.0	30293017	0.0	922.6341960430145
ptsVH(14308,1400)	0.938277	TrueGround	11	0	1.0	30357578	0.0	911.1184668540955
ptsVH(14312,1400)	0.938277	TrueGround	12	0	1.0	30290532	0.0	876.7677636146545
ptsVH(14309,1401)	0.896156	TrueGround	13	0	1.0	30288528	0.0	863.6101415157318
ptsVH(14310,1401)	0.938277	TrueGround	14	0	1.0	30290152	0.0	901.4310371875763
ptsVH(14287,1400)	0.695563	TrueGround	15	0	1.0	30290973	0.0	878.6572661399841
ptsVH(14288,1401)	0.938712	TrueGround	16	0	1.0	30156438	0.0	825.7763543128967
ptsVH(14293,1400)	0.938277	TrueGround	17	0	1.0	30156436	0.0	862.3479373455048
ptsVH(14289,1399)	0.866607	TrueGround	18	0	1.0	30303424	0.0	867.1258418560028
ptsVH(14290,1399)	0.938277	TrueGround	19	0	1.0	30054447	0.0	861.7304065227509
ptsVH(14291,1399)	0.938277	TrueGround	20	0	1.0	30054447	0.0	866.7995262145996
ptsVH(14730,1401)	0.796267	TrueGround	21	0	1.0	30053643	0.0	807.4176275730133
ptsVH(14731,1429)	0.877342	TrueGround	22	0	1.0	30625247	0.0	725.0271484851837
ptsVH(14732,1429)	0.938277	TrueGround	23	0	1.0	31025037	0.0	724.341290473938
ptsVH(14738,1430)	0.896156	TrueGround	24	0	1.0	31031460	0.0	669.2426216602325
ptsVH(14739,1430)	0.938277	TrueGround	25	0	1.0	31029432	0.0	732.8818583488464
ptsVH(14741,1430)	0.938277	TrueGround	26	0	1.0	31028169	0.0	681.470192193985
ptsVH(14742,1431)	0.896156	TrueGround	27	0	1.0	31029183	0.0	657.4475510120392
ptsVH(14743,1431)	0.938277	TrueGround	28	0	1.0	31060026	0.0	667.4851174354553
ptsVH(14745,1431)	0.938277	TrueGround	29	0	1.0	31070968	0.0	702.9719424247742
ptsVH(14746,1432)	0.896156	TrueGround	30	0	1.0	31074994	0.0	680.1174252033234
ptsVH(14747,1432)	0.938277	TrueGround	31	0	1.0	31013910	0.0	645.4277853965759
ptsVH(14750,1433)	0.896156	TrueGround	32	0	1.0	31013914	0.0	655.1759946346283
ptsVH(14751,1433)	0.938277	TrueGround	33	0	1.0	31013901	0.0	667.9328322410583
ptsVH(14752,1433)	0.938277	TrueGround	34	0	1.0	31013903	0.0	680.1014747619629
ptsVH(14753,1434)	0.896156	TrueGround	35	0	1.0	31013897	0.0	701.2910392284393
ptsVH(14754,1434)	0.938277	TrueGround	36	0	1.0	31006035	0.0	656.8933069705963
ptsVH(14755,1434)	0.938277	TrueGround	37	0	1.0	31006637	0.0	656.2208979129791
ptsVH(14292,1434)	0.926946	TrueGround	38	0	1.0	30996426	0.0	668.7221033573151
ptsVH(14756,1435)	0.896156	TrueGround	39	0	1.0	30992347	0.0	668.1667833328247
ptsVH(14757,1435)	0.938277	TrueGround	40	0	1.0	30994165	0.0	679.4376606941223
ptsVH(14294,1434)	0.877084	TrueGround	41	0	1.0	31002076	0.0	668.6724698543549
ptsVH(17434,1430)	0.822382	TrueGround	42	0	1.0	30998863	0.0	657.570362329483
ptsVH(17438,1681)	0.83967	TrueGround	43	0	1.0	31052492	0.0	624.3843569755554
ptsVH(17439,1681)	0.938277	TrueGround	44	0	1.0	31059503	0.0	661.8318746089935
ptsVH(16394,1746)	0.81258	TrueGround	45	0	1.0	31057974	0.0	649.9581310749054
ptsVH(16367,1746)	0.905811	TrueGround	46	0	1.0	31096027	0.0	650.4881727695465
ptsVH(16368,1746)	0.938277	TrueGround	47	0	1.0	31096233	0.0	671.6351466178894
ptsVH(16369,1746)	0.938277	TrueGround	48	0	1.0	31096245	0.0	661.7925872802734
ptsVH(16370,1746)	0.938277	TrueGround	49	0	1.0	31096106	0.0	661.6697723865509
ptsVH(17829,1746)	0.936364	TrueGround	50	0	1.0	31096327	0.0	673.9122405052185
ptsVH(17843,1746)	0.936315	TrueGround	51	0	1.0	31096294	0.0	673.0587627887726
ptsVH(17855,1746)	0.936274	TrueGround	52	0	1.0	31096351	0.0	650.1622490882874
ptsVH(17870,1746)	0.936241	TrueGround	53	0	1.0	31098349	0.0	626.7663443088531
