Rank	Confidence	Ground	Label	Comments	Tuple
1	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14287,1400)
2	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14288,1401)
3	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14291,1399)
4	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14296,1400)
5	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14299,2)
6	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14301,1733)
7	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14302,1736)
8	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14303,1737)
9	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14303,1738)
10	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14303,1739)
11	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14303,1740)
12	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14303,1741)
13	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14304,2)
14	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14312,1400)
15	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14315,1733)
16	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14317,1736)
17	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14319,1737)
18	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14319,1738)
19	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14319,1739)
20	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14319,1740)
21	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14319,1741)
22	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14339,2)
23	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14343,1460)
24	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14343,1465)
25	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14343,1467)
26	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14343,1471)
27	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14343,1472)
28	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14343,1473)
29	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14343,1474)
30	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14343,1524)
31	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14343,1527)
32	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14343,1528)
33	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14343,1639)
34	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14343,1640)
35	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14343,1642)
36	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14343,1643)
37	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14343,1655)
38	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14346,1460)
39	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14346,1465)
40	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14346,1467)
41	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14346,1471)
42	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14346,1472)
43	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14346,1473)
44	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14346,1474)
45	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14346,1640)
46	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14346,1642)
47	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14346,1643)
48	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14347,1460)
49	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14347,1465)
50	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14347,1471)
51	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14347,1472)
52	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14347,1473)
53	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14347,1474)
54	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14347,1527)
55	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14347,1639)
56	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14347,1640)
57	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14347,1642)
58	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14347,1643)
59	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14347,1655)
60	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14351,1524)
61	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14351,1527)
62	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14351,1528)
63	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14352,1524)
64	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14352,1527)
65	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14352,1528)
66	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14363,1524)
67	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14364,1401)
68	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14375,1524)
69	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14376,1528)
70	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14377,1604)
71	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14379,1528)
72	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14380,1527)
73	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14381,1603)
74	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14469,1639)
75	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14469,1655)
76	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14470,1639)
77	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14470,1655)
78	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14471,1639)
79	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14519,1655)
80	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14553,1471)
81	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14554,1620)
82	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14564,1473)
83	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14565,1620)
84	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14581,1473)
85	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14584,1474)
86	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14585,1620)
87	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14604,1474)
88	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14607,1642)
89	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14608,1620)
90	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14618,1643)
91	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14619,1620)
92	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14629,1640)
93	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14630,1620)
94	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14640,1460)
95	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14641,1620)
96	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14651,1472)
97	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14652,1620)
98	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14653,1620)
99	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14666,1472)
100	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14668,1460)
101	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14668,1471)
102	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14668,1472)
103	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14668,1473)
104	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14668,1474)
105	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14668,1640)
106	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14668,1642)
107	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14668,1643)
108	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14669,1620)
