Rank	Confidence	Ground	Label	Comments	Tuple
1	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14302,1736)
2	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14303,1737)
3	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14303,1738)
4	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14303,1739)
5	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14303,1740)
6	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14303,1741)
7	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14315,1733)
8	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14317,1736)
9	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14319,1737)
10	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14319,1738)
11	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14319,1739)
12	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14319,1740)
13	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14319,1741)
14	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14343,1472)
15	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14343,1473)
16	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14343,1474)
17	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14343,1655)
18	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14346,1474)
19	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14347,1473)
20	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14347,1474)
21	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14347,1527)
22	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14347,1655)
23	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14351,1524)
24	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14351,1527)
25	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14351,1528)
26	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14363,1524)
27	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14375,1524)
28	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14376,1528)
29	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14377,1604)
30	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14379,1528)
31	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14380,1527)
32	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14469,1655)
33	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14470,1655)
34	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14471,1639)
35	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14519,1655)
36	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14553,1471)
37	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14554,1620)
38	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14564,1473)
39	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14565,1620)
40	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14581,1473)
41	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14584,1474)
42	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14585,1620)
43	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14604,1474)
44	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14607,1642)
45	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14608,1620)
46	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14618,1643)
47	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14619,1620)
48	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14629,1640)
49	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14630,1620)
50	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14640,1460)
51	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14641,1620)
52	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14651,1472)
53	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14652,1620)
