Rank	Confidence	Ground	Label	Comments	Tuple
1	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14288,1401)
2	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14302,1736)
3	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14303,1737)
4	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14303,1738)
5	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14303,1739)
6	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14303,1740)
7	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14303,1741)
8	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14312,1400)
9	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14315,1733)
10	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14317,1736)
11	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14319,1737)
12	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14319,1738)
13	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14319,1739)
14	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14319,1740)
15	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14319,1741)
16	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14343,1472)
17	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14343,1473)
18	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14343,1474)
19	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14343,1655)
20	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14346,1472)
21	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14346,1474)
22	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14347,1473)
23	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14347,1474)
24	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14347,1527)
25	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14347,1655)
26	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14351,1524)
27	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14351,1527)
28	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14351,1528)
29	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14363,1524)
30	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14364,1401)
31	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14375,1524)
32	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14376,1528)
33	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14377,1604)
34	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14379,1528)
35	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14380,1527)
36	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14469,1655)
37	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14470,1655)
38	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14471,1639)
39	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14519,1655)
40	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14553,1471)
41	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14554,1620)
42	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14564,1473)
43	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14565,1620)
44	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14581,1473)
45	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14584,1474)
46	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14585,1620)
47	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14604,1474)
48	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14607,1642)
