Rank	Confidence	Ground	Label	Comments	Tuple
1	0.877303	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13111,1)
2	0.848761	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13112,1)
3	0.848761	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13113,1)
4	0.647886	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12821,1275)
5	0.647886	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12829,1276)
6	0.647886	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12837,1277)
7	0.647886	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12845,1278)
8	0.647886	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12853,1279)
9	0.647886	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12862,1280)
10	0.647886	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12873,1281)
11	0.647886	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12882,1282)
12	0.596316	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12785,1270)
13	0.596316	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12787,1271)
14	0.570588	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12822,1275)
15	0.570588	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12830,1276)
16	0.570588	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12838,1277)
17	0.570588	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12846,1278)
18	0.570588	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12854,1279)
19	0.570588	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12863,1280)
20	0.570588	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12874,1281)
21	0.570588	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12883,1282)
22	0.543924	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12792,1272)
23	0.543924	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12807,1273)
24	0.543924	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12811,1274)
25	0.543924	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12895,1283)
26	0.507248	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12786,1270)
27	0.507248	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12788,1271)
28	0.464448	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13067,1)
29	0.447543	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12793,1272)
30	0.447543	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12808,1273)
31	0.447543	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12812,1274)
32	0.447543	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12896,1283)
33	0.437644	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13070,1)
34	0.40273	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12790,1270)
35	0.40273	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12800,1270)
36	0.40273	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12805,1270)
37	0.40273	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12806,1270)
38	0.40273	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12893,1270)
39	0.40273	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12903,1270)
40	0.385	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12798,1275)
41	0.385	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12798,1276)
42	0.385	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12798,1277)
43	0.385	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12798,1278)
44	0.385	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12798,1279)
45	0.385	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12798,1280)
46	0.385	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12798,1281)
47	0.385	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12798,1282)
48	0.385	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12817,1275)
49	0.385	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12817,1276)
50	0.385	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12817,1277)
51	0.385	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12817,1278)
52	0.385	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12817,1279)
53	0.385	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12817,1280)
54	0.385	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12817,1281)
55	0.385	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12817,1282)
56	0.385	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12901,1275)
57	0.385	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12901,1276)
58	0.385	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12901,1277)
59	0.385	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12901,1278)
60	0.385	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12901,1279)
61	0.385	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12901,1280)
62	0.385	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12901,1281)
63	0.385	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12901,1282)
64	0.36335	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12796,1275)
65	0.36335	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12796,1276)
66	0.36335	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12796,1277)
67	0.36335	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12796,1278)
68	0.36335	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12796,1279)
69	0.36335	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12796,1280)
70	0.36335	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12796,1281)
71	0.36335	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12796,1282)
72	0.36335	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12815,1275)
73	0.36335	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12815,1276)
74	0.36335	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12815,1277)
75	0.36335	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12815,1278)
76	0.36335	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12815,1279)
77	0.36335	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12815,1280)
78	0.36335	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12815,1281)
79	0.36335	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12815,1282)
80	0.36335	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12899,1275)
81	0.36335	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12899,1276)
82	0.36335	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12899,1277)
83	0.36335	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12899,1278)
84	0.36335	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12899,1279)
85	0.36335	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12899,1280)
86	0.36335	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12899,1281)
87	0.36335	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12899,1282)
88	0.342563	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12798,1272)
89	0.342563	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12798,1274)
90	0.342563	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12798,1283)
91	0.342563	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12817,1272)
92	0.342563	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12817,1274)
93	0.342563	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12817,1283)
94	0.342563	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12901,1272)
95	0.342563	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12901,1274)
96	0.342563	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12901,1283)
97	0.341348	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12826,1275)
98	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12826,1276)
99	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12826,1277)
100	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12826,1278)
101	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12826,1279)
102	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12826,1280)
103	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12826,1281)
104	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12826,1282)
105	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12834,1275)
106	0.341348	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12834,1276)
107	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12834,1277)
108	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12834,1278)
109	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12834,1279)
110	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12834,1280)
111	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12834,1281)
112	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12834,1282)
113	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12842,1275)
114	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12842,1276)
115	0.341348	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12842,1277)
116	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12842,1278)
117	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12842,1279)
118	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12842,1280)
119	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12842,1281)
120	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12842,1282)
121	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12850,1275)
122	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12850,1276)
123	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12850,1277)
124	0.341348	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12850,1278)
125	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12850,1279)
126	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12850,1280)
127	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12850,1281)
128	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12850,1282)
129	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12858,1275)
130	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12858,1276)
131	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12858,1277)
132	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12858,1278)
133	0.341348	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12858,1279)
134	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12858,1280)
135	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12858,1281)
136	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12858,1282)
137	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12867,1275)
138	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12867,1276)
139	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12867,1277)
140	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12867,1278)
141	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12867,1279)
142	0.341348	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12867,1280)
143	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12867,1281)
144	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12867,1282)
145	0.33405	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12879,1275)
146	0.33405	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12879,1276)
147	0.33405	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12879,1277)
148	0.33405	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12879,1278)
149	0.33405	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12879,1279)
150	0.33405	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12879,1280)
151	0.33405	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12879,1281)
152	0.33405	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12879,1282)
153	0.33405	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12888,1275)
154	0.33405	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12888,1276)
155	0.33405	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12888,1277)
156	0.33405	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12888,1278)
157	0.33405	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12888,1279)
158	0.33405	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12888,1280)
159	0.33405	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12888,1281)
160	0.33405	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12888,1282)
161	0.323299	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(12796,1272)
162	0.323299	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12796,1274)
163	0.323299	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12796,1283)
164	0.323299	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(12815,1272)
