Rank	Confidence	Ground	Label	Comments	Tuple
1	0.877303	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13467,1)
2	0.848761	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13468,1)
3	0.848761	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13469,1)
4	0.647886	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13081,1299)
5	0.647886	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13089,1300)
6	0.647886	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13097,1301)
7	0.647886	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13105,1302)
8	0.647886	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13113,1303)
9	0.647886	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13122,1304)
10	0.647886	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13133,1305)
11	0.647886	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13142,1306)
12	0.596316	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13045,1294)
13	0.596316	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13047,1295)
14	0.570588	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13082,1299)
15	0.570588	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13090,1300)
16	0.570588	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13098,1301)
17	0.570588	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13106,1302)
18	0.570588	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13114,1303)
19	0.570588	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13123,1304)
20	0.570588	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13134,1305)
21	0.570588	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13143,1306)
22	0.543924	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13052,1296)
23	0.543924	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13067,1297)
24	0.543924	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13071,1298)
25	0.543924	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13155,1307)
26	0.507248	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13046,1294)
27	0.507248	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13048,1295)
28	0.464448	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13422,1)
29	0.447543	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13053,1296)
30	0.447543	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13068,1297)
31	0.447543	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13072,1298)
32	0.447543	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13156,1307)
33	0.437644	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13427,1)
34	0.40273	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13050,1294)
35	0.40273	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13060,1294)
36	0.40273	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13065,1294)
37	0.40273	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13066,1294)
38	0.40273	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13153,1294)
39	0.40273	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13163,1294)
40	0.38523	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13058,1299)
41	0.38523	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13058,1300)
42	0.38523	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13058,1301)
43	0.38523	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13058,1302)
44	0.38523	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13058,1303)
45	0.38523	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13058,1304)
46	0.38523	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13058,1305)
47	0.38523	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13058,1306)
48	0.38523	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13077,1299)
49	0.38523	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13077,1300)
50	0.38523	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13077,1301)
51	0.38523	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13077,1302)
52	0.38523	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13077,1303)
53	0.38523	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13077,1304)
54	0.38523	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13077,1305)
55	0.38523	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13077,1306)
56	0.38523	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13161,1299)
57	0.38523	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13161,1300)
58	0.38523	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13161,1301)
59	0.38523	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13161,1302)
60	0.38523	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13161,1303)
61	0.38523	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13161,1304)
62	0.38523	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13161,1305)
63	0.38523	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13161,1306)
64	0.365181	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13056,1299)
65	0.365181	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13056,1300)
66	0.365181	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13056,1301)
67	0.365181	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13056,1302)
68	0.365181	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13056,1303)
69	0.365181	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13056,1304)
70	0.365181	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13056,1305)
71	0.365181	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13056,1306)
72	0.365181	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13075,1299)
73	0.365181	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13075,1300)
74	0.365181	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13075,1301)
75	0.365181	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13075,1302)
76	0.365181	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13075,1303)
77	0.365181	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13075,1304)
78	0.365181	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13075,1305)
79	0.365181	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13075,1306)
80	0.365181	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13159,1299)
81	0.365181	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13159,1300)
82	0.365181	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13159,1301)
83	0.365181	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13159,1302)
84	0.365181	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13159,1303)
85	0.365181	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13159,1304)
86	0.365181	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13159,1305)
87	0.365181	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13159,1306)
88	0.342767	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13058,1296)
89	0.342767	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13058,1298)
90	0.342767	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13058,1307)
91	0.342767	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13077,1296)
92	0.342767	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13077,1298)
93	0.342767	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13077,1307)
94	0.342767	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13161,1296)
95	0.342767	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13161,1298)
96	0.342767	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13161,1307)
97	0.341348	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13086,1299)
98	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13086,1300)
99	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13086,1301)
100	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13086,1302)
101	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13086,1303)
102	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13086,1304)
103	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13086,1305)
104	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13086,1306)
105	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13094,1299)
106	0.341348	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13094,1300)
107	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13094,1301)
108	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13094,1302)
109	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13094,1303)
110	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13094,1304)
111	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13094,1305)
112	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13094,1306)
113	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13102,1299)
114	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13102,1300)
115	0.341348	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13102,1301)
116	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13102,1302)
117	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13102,1303)
118	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13102,1304)
119	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13102,1305)
120	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13102,1306)
121	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13110,1299)
122	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13110,1300)
123	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13110,1301)
124	0.341348	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13110,1302)
125	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13110,1303)
126	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13110,1304)
127	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13110,1305)
128	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13110,1306)
129	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13118,1299)
130	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13118,1300)
131	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13118,1301)
132	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13118,1302)
133	0.341348	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13118,1303)
134	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13118,1304)
135	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13118,1305)
136	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13118,1306)
137	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13127,1299)
138	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13127,1300)
139	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13127,1301)
140	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13127,1302)
141	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13127,1303)
142	0.341348	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13127,1304)
143	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13127,1305)
144	0.341348	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13127,1306)
145	0.33405	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13139,1299)
146	0.33405	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13139,1300)
147	0.33405	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13139,1301)
148	0.33405	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13139,1302)
149	0.33405	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13139,1303)
150	0.33405	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13139,1304)
151	0.33405	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13139,1305)
152	0.33405	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13139,1306)
153	0.33405	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13148,1299)
154	0.33405	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13148,1300)
155	0.33405	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13148,1301)
156	0.33405	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13148,1302)
157	0.33405	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13148,1303)
158	0.33405	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13148,1304)
159	0.33405	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13148,1305)
160	0.33405	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13148,1306)
161	0.324928	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13056,1296)
162	0.324928	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13056,1298)
163	0.324928	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13056,1307)
164	0.324928	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13075,1296)
165	0.324928	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13075,1298)
166	0.324928	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13075,1307)
167	0.324928	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13159,1296)
168	0.324928	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13159,1298)
169	0.324928	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13159,1307)
170	0.303722	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13086,1296)
171	0.303722	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13086,1298)
172	0.303722	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13086,1307)
173	0.303722	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13094,1296)
174	0.303722	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13094,1298)
175	0.303722	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13094,1307)
176	0.303722	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13102,1296)
177	0.303722	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13102,1298)
178	0.303722	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13102,1307)
179	0.303722	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13110,1296)
180	0.303722	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13110,1298)
181	0.303722	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13110,1307)
182	0.303722	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13118,1296)
183	0.303722	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13118,1298)
184	0.303722	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13118,1307)
185	0.303722	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13127,1296)
186	0.303722	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13127,1298)
187	0.303722	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13127,1307)
188	0.301568	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13137,1296)
189	0.301568	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13137,1298)
190	0.301568	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13137,1307)
191	0.301568	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13146,1296)
192	0.301568	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13146,1298)
193	0.301568	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13146,1307)
194	0.297229	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13139,1296)
195	0.297229	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13139,1298)
196	0.297229	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13139,1307)
197	0.297229	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13148,1296)
198	0.297229	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13148,1298)
199	0.297229	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13148,1307)
200	0.258118	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13175,1299)
201	0.258118	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13175,1300)
202	0.258118	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13175,1301)
203	0.258118	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13175,1302)
204	0.258118	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13175,1303)
205	0.258118	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13175,1304)
206	0.258118	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13175,1305)
207	0.258118	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13175,1306)
208	0.258118	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13189,1299)
209	0.258118	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13189,1300)
210	0.258118	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13189,1301)
211	0.258118	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13189,1302)
212	0.258118	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13189,1303)
213	0.258118	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13189,1304)
214	0.258118	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13189,1305)
215	0.258118	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13189,1306)
216	0.229666	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13175,1296)
217	0.229666	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13175,1298)
218	0.229666	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13175,1307)
219	0.229666	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13189,1296)
220	0.229666	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13189,1298)
221	0.229666	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13189,1307)
222	0.229192	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13084,1299)
223	0.229192	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13084,1300)
224	0.229192	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13084,1301)
225	0.229192	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13084,1302)
226	0.229192	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13084,1303)
227	0.229192	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13084,1304)
228	0.229192	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13084,1305)
229	0.229192	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13084,1306)
230	0.229192	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13092,1299)
231	0.229192	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(13092,1300)
232	0.229192	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13092,1301)
233	0.229192	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13092,1302)
234	0.229192	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(13092,1303)
