Rank	Confidence	Ground	Label	Comments	Tuple
1	0.877303	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34497,1)
2	0.877303	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34500,2)
3	0.877303	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34505,3)
4	0.877303	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34509,4)
5	0.848761	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34498,1)
6	0.848761	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34499,1)
7	0.848761	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34501,2)
8	0.848761	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34502,2)
9	0.848761	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34506,3)
10	0.848761	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34507,3)
11	0.848761	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34510,4)
12	0.848761	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34511,4)
13	0.833335	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(31892,2891)
14	0.792523	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(31893,2891)
15	0.779475	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(31857,2887)
16	0.724074	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34525,3066)
17	0.724074	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34529,3067)
18	0.724074	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34533,3068)
19	0.719871	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(31858,2887)
20	0.657097	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34526,3066)
21	0.657097	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34528,3066)
22	0.657097	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34530,3067)
23	0.657097	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34531,3067)
24	0.657097	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34534,3068)
25	0.657097	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34536,3068)
26	0.652446	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(31189,2845)
