Rank	Confidence	Ground	Label	Comments	Tuple
1	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33470,2991)
2	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33471,3)
3	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33480,2991)
4	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33493,2991)
5	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33494,2992)
6	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33496,2984)
7	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33496,3028)
8	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33510,2991)
9	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33517,2991)
10	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33521,2992)
11	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33525,2991)
12	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33529,2991)
13	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33552,3008)
14	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33553,3)
15	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33554,3008)
16	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33557,3028)
17	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33598,2984)
18	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33599,3008)
19	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33603,3008)
20	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33616,3008)
21	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33617,2984)
22	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33617,3028)
23	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33659,3008)
24	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33660,2984)
25	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33660,3028)
26	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33663,4)
27	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33664,3)
28	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33675,4)
29	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33680,2991)
30	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33682,4)
31	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33684,3009)
32	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33685,3008)
33	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33699,2996)
34	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33712,3048)
35	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33727,3048)
36	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33740,3048)
37	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33766,4)
38	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33781,2984)
39	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33785,4)
40	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33786,4)
41	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33789,2991)
42	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33791,4)
43	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33806,4)
44	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33810,3008)
45	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33824,2991)
46	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33834,2992)
47	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33856,2991)
48	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33861,2984)
49	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33873,4)
50	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33887,4)
51	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33888,4)
52	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33900,3)
53	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34042,3)
54	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34056,3)
55	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34058,3)
56	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34060,3)
57	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34061,3)
58	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34063,3)
59	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34064,3)
60	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34066,3)
61	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34067,3)
62	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34069,3)
63	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34071,3)
64	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34073,3)
65	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34074,3028)
66	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34077,3)
67	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34078,3)
68	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34079,3028)
69	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34082,3)
70	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34083,3028)
71	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34092,3)
72	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34102,3)
73	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34123,3)
74	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34124,3)
75	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34125,3)
76	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34188,3009)
77	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34189,3)
78	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34210,2984)
79	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34210,3028)
80	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34212,2984)
81	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34212,3028)
82	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34320,3048)
83	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34321,3028)
84	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34324,3)
85	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34325,2996)
86	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34326,3028)
87	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34327,3)
88	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34348,2996)
89	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34348,3048)
90	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34394,2996)
91	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34394,3048)
92	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34399,2996)
93	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34399,3048)
94	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34401,2996)
95	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34401,3048)
96	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34405,2996)
97	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34405,3048)
98	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34409,2996)
99	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34409,3048)
100	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34412,2996)
101	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34412,3048)
102	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34416,2996)
103	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34416,3048)
