Rank	Confidence	Ground	Label	Comments	Tuple
1	0.811802	TrueGround	Unlabelled	SPOkGoodGood	lflow(0,40)
2	0.473971	TrueGround	Unlabelled	SPOkGoodGood	lflow(29,40)
3	0.473971	TrueGround	Unlabelled	SPOkGoodGood	lflow(34,40)
4	0.473971	TrueGround	Unlabelled	SPOkGoodGood	lflow(35,40)
5	0.473971	FalseGround	Unlabelled	SPOkGoodGood	lflow(36,40)
6	0.473971	TrueGround	Unlabelled	SPOkGoodGood	lflow(37,40)
7	0.374683	FalseGround	Unlabelled	SPOkGoodGood	lflow(2,40)
8	0.177325	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,49)
9	0.112921	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,50)
10	0.0802266	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,51)
11	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,54)
12	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,57)
13	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,58)
14	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,59)
15	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,60)
16	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,61)
17	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,62)
18	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,64)
19	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(2,49)
20	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(2,50)
21	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(2,51)
22	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(2,54)
23	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(2,57)
24	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(2,58)
25	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(2,59)
26	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(2,60)
27	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(2,61)
28	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(2,62)
29	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(2,64)
30	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(26,40)
31	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(26,49)
32	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(26,50)
33	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(26,51)
34	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(26,54)
35	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(26,57)
36	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(26,58)
37	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(26,59)
38	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(26,60)
39	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(26,61)
40	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(26,62)
