Rank	Confidence	Ground	Label	Comments	Tuple
1	0.811802	TrueGround	Unlabelled	SPOkGoodGood	lflow(0,40)
2	0.472886	TrueGround	Unlabelled	SPOkGoodGood	lflow(29,40)
3	0.472886	TrueGround	Unlabelled	SPOkGoodGood	lflow(34,40)
4	0.472886	TrueGround	Unlabelled	SPOkGoodGood	lflow(35,40)
5	0.472886	FalseGround	Unlabelled	SPOkGoodGood	lflow(36,40)
6	0.472886	TrueGround	Unlabelled	SPOkGoodGood	lflow(37,40)
7	0.374683	FalseGround	Unlabelled	SPOkGoodGood	lflow(2,40)
8	0.177325	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,49)
9	0.109214	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,50)
10	0.0945385	FalseGround	Unlabelled	SPOkGoodGood	lflow(32,49)
11	0.0945385	FalseGround	Unlabelled	SPOkGoodGood	lflow(33,49)
12	0.0945385	FalseGround	Unlabelled	SPOkGoodGood	lflow(39,49)
13	0.0829427	FalseGround	Unlabelled	SPOkGoodGood	lflow(32,40)
14	0.0829427	FalseGround	Unlabelled	SPOkGoodGood	lflow(33,40)
15	0.0829427	FalseGround	Unlabelled	SPOkGoodGood	lflow(39,40)
16	0.0775928	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,51)
17	0.0259771	FalseGround	Unlabelled	SPOkGoodGood	lflow(32,50)
18	0.0259771	FalseGround	Unlabelled	SPOkGoodGood	lflow(33,50)
19	0.0259771	FalseGround	Unlabelled	SPOkGoodGood	lflow(39,50)
20	0.0216952	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,57)
21	0.0216952	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,58)
22	0.0216952	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,64)
23	0.0189526	FalseGround	Unlabelled	SPOkGoodGood	lflow(2,49)
24	0.0184559	FalseGround	Unlabelled	SPOkGoodGood	lflow(32,51)
25	0.0184559	FalseGround	Unlabelled	SPOkGoodGood	lflow(33,51)
26	0.0184559	FalseGround	Unlabelled	SPOkGoodGood	lflow(39,51)
27	0.00520776	FalseGround	Unlabelled	SPOkGoodGood	lflow(2,50)
28	0.00516032	FalseGround	Unlabelled	SPOkGoodGood	lflow(32,57)
29	0.00516032	FalseGround	Unlabelled	SPOkGoodGood	lflow(32,58)
30	0.00516032	FalseGround	Unlabelled	SPOkGoodGood	lflow(32,64)
31	0.00516032	FalseGround	Unlabelled	SPOkGoodGood	lflow(33,57)
32	0.00516032	FalseGround	Unlabelled	SPOkGoodGood	lflow(33,58)
33	0.00516032	FalseGround	Unlabelled	SPOkGoodGood	lflow(33,64)
34	0.00516032	FalseGround	Unlabelled	SPOkGoodGood	lflow(39,57)
35	0.00516032	FalseGround	Unlabelled	SPOkGoodGood	lflow(39,58)
36	0.00516032	FalseGround	Unlabelled	SPOkGoodGood	lflow(39,64)
37	0.00487091	FalseGround	Unlabelled	SPOkGoodGood	lflow(26,49)
38	0.00427345	FalseGround	Unlabelled	SPOkGoodGood	lflow(26,40)
39	0.00369995	FalseGround	Unlabelled	SPOkGoodGood	lflow(2,51)
40	0.00133842	FalseGround	Unlabelled	SPOkGoodGood	lflow(26,50)
41	0.00103452	FalseGround	Unlabelled	SPOkGoodGood	lflow(2,57)
42	0.00103452	FalseGround	Unlabelled	SPOkGoodGood	lflow(2,58)
43	0.00103452	FalseGround	Unlabelled	SPOkGoodGood	lflow(2,64)
44	0.000950902	FalseGround	Unlabelled	SPOkGoodGood	lflow(26,51)
