Rank	Confidence	Ground	Label	Comments	Tuple
1	0.834099	FalseGround	Unlabelled	SPOkGoodGood	lflow(37,68)
2	0.83409	FalseGround	Unlabelled	SPOkGoodGood	lflow(37,73)
3	0.834088	FalseGround	Unlabelled	SPOkGoodGood	lflow(37,74)
4	0.794429	FalseGround	Unlabelled	SPOkGoodGood	lflow(24,74)
5	0.780769	FalseGround	Unlabelled	SPOkGoodGood	lflow(57,68)
6	0.779795	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,77)
7	0.755907	FalseGround	Unlabelled	SPOkGoodGood	lflow(37,77)
8	0.741381	TrueGround	Unlabelled	SPOkGoodGood	lflow(0,73)
9	0.712625	FalseGround	Unlabelled	SPOkGoodGood	lflow(37,78)
10	0.698668	FalseGround	Unlabelled	SPOkGoodGood	lflow(57,73)
11	0.662258	FalseGround	Unlabelled	SPOkGoodGood	lflow(37,83)
12	0.659387	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,83)
13	0.659207	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,79)
14	0.639018	FalseGround	Unlabelled	SPOkGoodGood	lflow(19,74)
15	0.639018	FalseGround	Unlabelled	SPOkGoodGood	lflow(38,74)
16	0.608183	FalseGround	Unlabelled	SPOkGoodGood	lflow(43,83)
17	0.599428	FalseGround	Unlabelled	SPOkGoodGood	lflow(45,79)
18	0.571364	FalseGround	Unlabelled	SPOkGoodGood	lflow(43,79)
19	0.562941	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,88)
20	0.562489	FalseGround	Unlabelled	SPOkGoodGood	lflow(37,88)
21	0.561121	FalseGround	Unlabelled	SPOkGoodGood	lflow(19,77)
22	0.561121	FalseGround	Unlabelled	SPOkGoodGood	lflow(24,77)
23	0.561121	FalseGround	Unlabelled	SPOkGoodGood	lflow(30,74)
24	0.561121	FalseGround	Unlabelled	SPOkGoodGood	lflow(30,77)
25	0.561121	FalseGround	Unlabelled	SPOkGoodGood	lflow(38,77)
26	0.561121	FalseGround	Unlabelled	SPOkGoodGood	lflow(42,74)
27	0.561121	FalseGround	Unlabelled	SPOkGoodGood	lflow(42,77)
28	0.561121	FalseGround	Unlabelled	SPOkGoodGood	lflow(43,77)
29	0.561121	FalseGround	Unlabelled	SPOkGoodGood	lflow(44,74)
30	0.561121	FalseGround	Unlabelled	SPOkGoodGood	lflow(44,77)
31	0.561121	FalseGround	Unlabelled	SPOkGoodGood	lflow(45,74)
32	0.561121	FalseGround	Unlabelled	SPOkGoodGood	lflow(45,77)
33	0.561121	FalseGround	Unlabelled	SPOkGoodGood	lflow(49,74)
34	0.561121	FalseGround	Unlabelled	SPOkGoodGood	lflow(49,77)
35	0.561121	FalseGround	Unlabelled	SPOkGoodGood	lflow(50,74)
36	0.561121	FalseGround	Unlabelled	SPOkGoodGood	lflow(50,77)
37	0.561121	FalseGround	Unlabelled	SPOkGoodGood	lflow(53,74)
38	0.561121	FalseGround	Unlabelled	SPOkGoodGood	lflow(53,77)
39	0.561121	FalseGround	Unlabelled	SPOkGoodGood	lflow(60,74)
40	0.561121	FalseGround	Unlabelled	SPOkGoodGood	lflow(60,77)
41	0.561121	FalseGround	Unlabelled	SPOkGoodGood	lflow(61,74)
42	0.561121	FalseGround	Unlabelled	SPOkGoodGood	lflow(61,77)
43	0.561121	FalseGround	Unlabelled	SPOkGoodGood	lflow(62,74)
44	0.561121	FalseGround	Unlabelled	SPOkGoodGood	lflow(62,77)
45	0.561109	FalseGround	Unlabelled	SPOkGoodGood	lflow(65,77)
46	0.558966	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,86)
47	0.558518	FalseGround	Unlabelled	SPOkGoodGood	lflow(37,86)
48	0.556744	FalseGround	Unlabelled	SPOkGoodGood	lflow(47,77)
49	0.556744	FalseGround	Unlabelled	SPOkGoodGood	lflow(48,77)
50	0.553023	FalseGround	Unlabelled	SPOkGoodGood	lflow(45,83)
51	0.552646	FalseGround	Unlabelled	SPOkGoodGood	lflow(45,88)
