Rank	Confidence	Ground	Label	Comments	Tuple
1	0.834099	FalseGround	Unlabelled	SPOkGoodGood	lflow(37,68)
2	0.83409	FalseGround	Unlabelled	SPOkGoodGood	lflow(37,73)
3	0.834088	FalseGround	Unlabelled	SPOkGoodGood	lflow(37,74)
4	0.780769	FalseGround	Unlabelled	SPOkGoodGood	lflow(57,68)
5	0.755907	FalseGround	Unlabelled	SPOkGoodGood	lflow(37,77)
6	0.754606	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,77)
7	0.741381	TrueGround	Unlabelled	SPOkGoodGood	lflow(0,73)
8	0.712886	FalseGround	Unlabelled	SPOkGoodGood	lflow(24,74)
9	0.712625	FalseGround	Unlabelled	SPOkGoodGood	lflow(37,78)
10	0.698668	FalseGround	Unlabelled	SPOkGoodGood	lflow(57,73)
11	0.609258	FalseGround	Unlabelled	SPOkGoodGood	lflow(37,83)
12	0.603401	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,83)
13	0.553637	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,79)
14	0.396417	TrueGround	Unlabelled	SPOkGoodGood	lflow(44,78)
15	0.37005	FalseGround	Unlabelled	SPOkGoodGood	lflow(57,77)
16	0.340141	FalseGround	Unlabelled	SPOkGoodGood	lflow(37,79)
17	0.330259	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,100)
18	0.325452	FalseGround	Unlabelled	SPOkGoodGood	lflow(57,78)
19	0.303967	FalseGround	Unlabelled	SPOkGoodGood	lflow(37,100)
20	0.298464	TrueGround	Unlabelled	SPOkGoodGood	lflow(0,68)
21	0.292065	FalseGround	Unlabelled	SPOkGoodGood	lflow(19,74)
22	0.292065	FalseGround	Unlabelled	SPOkGoodGood	lflow(38,74)
23	0.271534	TrueGround	Unlabelled	SPOkGoodGood	lflow(57,83)
24	0.228309	TrueGround	Unlabelled	SPOkGoodGood	lflow(0,78)
25	0.215906	FalseGround	Unlabelled	SPOkGoodGood	lflow(57,74)
26	0.201062	TrueGround	Unlabelled	SPOkGoodGood	lflow(65,83)
27	0.193747	TrueGround	Unlabelled	SPOkGoodGood	lflow(0,74)
28	0.126986	FalseGround	Unlabelled	SPOkGoodGood	lflow(57,79)
29	0.12253	FalseGround	Unlabelled	SPOkGoodGood	lflow(57,100)
30	0.0912293	FalseGround	Unlabelled	SPOkGoodGood	lflow(19,68)
31	0.0912293	FalseGround	Unlabelled	SPOkGoodGood	lflow(38,68)
32	0.0656754	FalseGround	Unlabelled	SPOkGoodGood	lflow(19,73)
33	0.0656754	FalseGround	Unlabelled	SPOkGoodGood	lflow(38,73)
34	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,103)
35	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,104)
36	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,105)
37	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,108)
38	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,85)
39	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,86)
40	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,87)
41	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,88)
42	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,90)
43	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,91)
44	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,92)
45	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,93)
46	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,96)
47	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(19,100)
48	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(19,103)
49	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(19,104)
50	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(19,105)
51	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(19,108)
52	0.0	FalseGround	Unlabelled	SPOkGoodGood	lflow(19,77)
