Rank	Confidence	Ground	Label	Comments	Tuple
1	0.391719	TrueGround	Unlabelled	SPOkGoodGood	lflow(39,50)
2	0.185829	FalseGround	Unlabelled	SPOkGoodGood	lflow(12,50)
3	0.185829	FalseGround	Unlabelled	SPOkGoodGood	lflow(38,50)
4	0.0999085	FalseGround	Unlabelled	SPOkGoodGood	lflow(12,58)
5	0.0999085	FalseGround	Unlabelled	SPOkGoodGood	lflow(38,58)
6	0.0935845	FalseGround	Unlabelled	SPOkGoodGood	lflow(12,42)
7	0.0935845	FalseGround	Unlabelled	SPOkGoodGood	lflow(38,42)
8	0.0897173	FalseGround	Unlabelled	SPOkGoodGood	lflow(12,47)
9	0.0897173	FalseGround	Unlabelled	SPOkGoodGood	lflow(38,47)
10	0.0654947	FalseGround	Unlabelled	SPOkGoodGood	lflow(12,48)
11	0.0654947	FalseGround	Unlabelled	SPOkGoodGood	lflow(38,48)
12	0.0651645	FalseGround	Unlabelled	SPOkGoodGood	lflow(12,55)
13	0.0651645	FalseGround	Unlabelled	SPOkGoodGood	lflow(38,55)
14	0.0419312	FalseGround	Unlabelled	SPOkGoodGood	lflow(12,60)
15	0.0419312	FalseGround	Unlabelled	SPOkGoodGood	lflow(38,60)
16	0.0417173	FalseGround	Unlabelled	SPOkGoodGood	lflow(12,59)
17	0.0417173	FalseGround	Unlabelled	SPOkGoodGood	lflow(38,59)
18	0.0284585	FalseGround	Unlabelled	SPOkGoodGood	lflow(36,58)
19	0.0281212	FalseGround	Unlabelled	SPOkGoodGood	lflow(36,50)
20	0.0260964	FalseGround	Unlabelled	SPOkGoodGood	lflow(39,58)
21	0.0254344	FalseGround	Unlabelled	SPOkGoodGood	lflow(36,47)
22	0.0248934	FalseGround	Unlabelled	SPOkGoodGood	lflow(36,42)
23	0.0233233	FalseGround	Unlabelled	SPOkGoodGood	lflow(39,47)
24	0.0231905	FalseGround	Unlabelled	SPOkGoodGood	lflow(36,60)
25	0.0228273	FalseGround	Unlabelled	SPOkGoodGood	lflow(39,42)
26	0.021281	FalseGround	Unlabelled	SPOkGoodGood	lflow(39,60)
27	0.018517	FalseGround	Unlabelled	SPOkGoodGood	lflow(36,48)
28	0.0183277	FalseGround	Unlabelled	SPOkGoodGood	lflow(36,55)
29	0.0169801	FalseGround	Unlabelled	SPOkGoodGood	lflow(39,48)
30	0.0168065	FalseGround	Unlabelled	SPOkGoodGood	lflow(39,55)
31	0.0139705	FalseGround	Unlabelled	SPOkGoodGood	lflow(14,58)
32	0.0139705	FalseGround	Unlabelled	SPOkGoodGood	lflow(18,58)
33	0.0139705	FalseGround	Unlabelled	SPOkGoodGood	lflow(19,58)
34	0.013805	FalseGround	Unlabelled	SPOkGoodGood	lflow(14,50)
35	0.013805	FalseGround	Unlabelled	SPOkGoodGood	lflow(18,50)
36	0.013805	FalseGround	Unlabelled	SPOkGoodGood	lflow(19,50)
37	0.012486	FalseGround	Unlabelled	SPOkGoodGood	lflow(14,47)
38	0.012486	FalseGround	Unlabelled	SPOkGoodGood	lflow(18,47)
39	0.012486	FalseGround	Unlabelled	SPOkGoodGood	lflow(19,47)
40	0.0122204	FalseGround	Unlabelled	SPOkGoodGood	lflow(14,42)
41	0.0122204	FalseGround	Unlabelled	SPOkGoodGood	lflow(18,42)
42	0.0122204	FalseGround	Unlabelled	SPOkGoodGood	lflow(19,42)
43	0.0116465	FalseGround	Unlabelled	SPOkGoodGood	lflow(36,59)
44	0.0114922	FalseGround	Unlabelled	SPOkGoodGood	lflow(40,58)
45	0.0114922	FalseGround	Unlabelled	SPOkGoodGood	lflow(41,58)
46	0.011356	FalseGround	Unlabelled	SPOkGoodGood	lflow(40,50)
47	0.011356	FalseGround	Unlabelled	SPOkGoodGood	lflow(41,50)
48	0.0106799	FalseGround	Unlabelled	SPOkGoodGood	lflow(39,59)
49	0.010271	FalseGround	Unlabelled	SPOkGoodGood	lflow(40,47)
