Rank	Confidence	Ground	Label	Comments	Tuple
1	0.834099	TrueGround	Unlabelled	SPOkGoodGood	lflow(41,86)
2	0.834062	TrueGround	Unlabelled	SPOkGoodGood	lflow(44,86)
3	0.834062	TrueGround	Unlabelled	SPOkGoodGood	lflow(45,86)
4	0.834062	TrueGround	Unlabelled	SPOkGoodGood	lflow(46,86)
5	0.834062	TrueGround	Unlabelled	SPOkGoodGood	lflow(47,86)
6	0.834062	TrueGround	Unlabelled	SPOkGoodGood	lflow(48,86)
7	0.834062	TrueGround	Unlabelled	SPOkGoodGood	lflow(49,86)
8	0.834062	TrueGround	Unlabelled	SPOkGoodGood	lflow(50,86)
9	0.834062	TrueGround	Unlabelled	SPOkGoodGood	lflow(51,86)
10	0.834062	TrueGround	Unlabelled	SPOkGoodGood	lflow(52,86)
11	0.834062	TrueGround	Unlabelled	SPOkGoodGood	lflow(53,86)
12	0.834062	TrueGround	Unlabelled	SPOkGoodGood	lflow(54,86)
13	0.834062	TrueGround	Unlabelled	SPOkGoodGood	lflow(55,86)
14	0.834062	TrueGround	Unlabelled	SPOkGoodGood	lflow(56,86)
15	0.834062	TrueGround	Unlabelled	SPOkGoodGood	lflow(57,86)
16	0.834062	TrueGround	Unlabelled	SPOkGoodGood	lflow(58,86)
17	0.834062	TrueGround	Unlabelled	SPOkGoodGood	lflow(59,86)
18	0.834062	TrueGround	Unlabelled	SPOkGoodGood	lflow(60,86)
19	0.834062	TrueGround	Unlabelled	SPOkGoodGood	lflow(61,86)
20	0.834062	TrueGround	Unlabelled	SPOkGoodGood	lflow(62,86)
21	0.834062	TrueGround	Unlabelled	SPOkGoodGood	lflow(63,86)
22	0.815366	FalseGround	Unlabelled	SPOkGoodGood	lflow(65,86)
23	0.813254	TrueGround	Unlabelled	SPOkGoodGood	lflow(0,86)
24	0.711573	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,97)
25	0.711573	FalseGround	Unlabelled	SPOkGoodGood	lflow(41,97)
26	0.675402	TrueGround	Unlabelled	SPOkGoodGood	lflow(44,97)
27	0.675402	TrueGround	Unlabelled	SPOkGoodGood	lflow(45,97)
28	0.675402	TrueGround	Unlabelled	SPOkGoodGood	lflow(46,97)
29	0.675402	TrueGround	Unlabelled	SPOkGoodGood	lflow(47,97)
30	0.675402	TrueGround	Unlabelled	SPOkGoodGood	lflow(48,97)
31	0.675402	TrueGround	Unlabelled	SPOkGoodGood	lflow(49,97)
32	0.675402	TrueGround	Unlabelled	SPOkGoodGood	lflow(50,97)
33	0.675402	TrueGround	Unlabelled	SPOkGoodGood	lflow(51,97)
34	0.675402	TrueGround	Unlabelled	SPOkGoodGood	lflow(52,97)
35	0.675402	TrueGround	Unlabelled	SPOkGoodGood	lflow(53,97)
36	0.675402	TrueGround	Unlabelled	SPOkGoodGood	lflow(54,97)
37	0.675402	TrueGround	Unlabelled	SPOkGoodGood	lflow(55,97)
38	0.675402	TrueGround	Unlabelled	SPOkGoodGood	lflow(56,97)
39	0.675402	TrueGround	Unlabelled	SPOkGoodGood	lflow(57,97)
40	0.675402	TrueGround	Unlabelled	SPOkGoodGood	lflow(58,97)
41	0.675402	TrueGround	Unlabelled	SPOkGoodGood	lflow(59,97)
42	0.675402	TrueGround	Unlabelled	SPOkGoodGood	lflow(60,97)
43	0.675402	TrueGround	Unlabelled	SPOkGoodGood	lflow(61,97)
