Rank	Confidence	Ground	Label	Comments	Tuple
1	0.763719	FalseGround	Unlabelled	SPOkGoodGood	lflow(40,55)
2	0.763719	FalseGround	Unlabelled	SPOkGoodGood	lflow(41,55)
3	0.763719	FalseGround	Unlabelled	SPOkGoodGood	lflow(42,55)
4	0.763719	FalseGround	Unlabelled	SPOkGoodGood	lflow(43,55)
5	0.763719	FalseGround	Unlabelled	SPOkGoodGood	lflow(44,55)
6	0.757746	TrueGround	Unlabelled	SPOkGoodGood	lflow(40,68)
7	0.757746	TrueGround	Unlabelled	SPOkGoodGood	lflow(41,68)
8	0.757746	TrueGround	Unlabelled	SPOkGoodGood	lflow(42,68)
9	0.757746	TrueGround	Unlabelled	SPOkGoodGood	lflow(43,68)
10	0.757746	TrueGround	Unlabelled	SPOkGoodGood	lflow(44,68)
11	0.73234	FalseGround	Unlabelled	SPOkGoodGood	lflow(47,68)
12	0.73231	FalseGround	Unlabelled	SPOkGoodGood	lflow(22,68)
13	0.731298	FalseGround	Unlabelled	SPOkGoodGood	lflow(37,68)
14	0.731298	TrueGround	Unlabelled	SPOkGoodGood	lflow(53,68)
15	0.731298	TrueGround	Unlabelled	SPOkGoodGood	lflow(54,68)
16	0.713632	TrueGround	Unlabelled	SPOkGoodGood	lflow(52,68)
17	0.561134	FalseGround	Unlabelled	SPOkGoodGood	lflow(47,64)
18	0.561066	FalseGround	Unlabelled	SPOkGoodGood	lflow(22,64)
19	0.561066	FalseGround	Unlabelled	SPOkGoodGood	lflow(49,64)
20	0.558818	FalseGround	Unlabelled	SPOkGoodGood	lflow(37,64)
21	0.558818	FalseGround	Unlabelled	SPOkGoodGood	lflow(53,64)
22	0.558818	FalseGround	Unlabelled	SPOkGoodGood	lflow(54,64)
23	0.557144	FalseGround	Unlabelled	SPOkGoodGood	lflow(38,64)
24	0.556693	FalseGround	Unlabelled	SPOkGoodGood	lflow(34,64)
25	0.554748	TrueGround	Unlabelled	SPOkGoodGood	lflow(39,68)
26	0.554748	TrueGround	Unlabelled	SPOkGoodGood	lflow(50,68)
27	0.532289	FalseGround	Unlabelled	SPOkGoodGood	lflow(47,65)
