Rank	Confidence	Ground	Label	Comments	Tuple
1	0.88597	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,pch_swap-49354)
2	0.88597	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,pch_swap-49355)
3	0.88278	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,pch_swap-49357)
4	0.856952	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,copy_till-51986)
5	0.850004	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,main-49828)
6	0.850004	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,main-49829)
7	0.844562	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40403)
8	0.844562	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40409)
9	0.844562	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40470)
10	0.844562	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40476)
11	0.844562	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40482)
12	0.844562	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40488)
13	0.844562	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40494)
14	0.844562	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40500)
15	0.844562	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40502)
16	0.844562	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40503)
17	0.844562	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40505)
18	0.844562	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40506)
19	0.844562	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40510)
20	0.844562	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40512)
21	0.844562	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40514)
22	0.844562	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40516)
23	0.844562	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40518)
24	0.844562	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40520)
25	0.844562	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40523)
26	0.844562	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40525)
27	0.840986	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,another_hunk-48040)
28	0.840986	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,another_hunk-48042)
29	0.833091	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,another_hunk-48041)
30	0.833091	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,another_hunk-48043)
31	0.831682	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,pch_swap-49363)
32	0.831682	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,pch_swap-49364)
33	0.831682	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,pch_swap-49365)
34	0.831563	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,check_line_endings-52093)
35	0.831563	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,check_line_endings-52094)
36	0.831563	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,check_line_endings-52095)
37	0.831563	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,check_line_endings-52096)
38	0.812598	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,get_charset_aliases-41423)
39	0.809232	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,another_hunk-48903)
40	0.807941	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,intuit_diff_type-47106)
41	0.807941	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,intuit_diff_type-47107)
42	0.807941	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,intuit_diff_type-47108)
43	0.807941	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,intuit_diff_type-47109)
44	0.807941	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,intuit_diff_type-47110)
45	0.807941	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,intuit_diff_type-47111)
46	0.807941	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,intuit_diff_type-47112)
47	0.807941	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,intuit_diff_type-47113)
48	0.807941	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,intuit_diff_type-47114)
49	0.807941	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,intuit_diff_type-47115)
50	0.807941	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,intuit_diff_type-47116)
51	0.807941	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,intuit_diff_type-47117)
52	0.807941	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,intuit_diff_type-47142)
53	0.807941	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,intuit_diff_type-47143)
54	0.807941	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,intuit_diff_type-47144)
55	0.807941	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,intuit_diff_type-47145)
56	0.805539	TrueGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,pch_write_line-49430)
57	0.805539	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,pch_write_line-49431)
58	0.805346	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,quotearg_buffer_restyled-38935)
59	0.805346	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,quotearg_buffer_restyled-39010)
60	0.802316	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,find_backup_file_name-43188)
61	0.801781	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40563)
62	0.7991	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,pch_char-48294)
63	0.798802	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,numeric_string-51199)
64	0.791183	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,another_hunk-48074)
65	0.791183	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,another_hunk-48076)
66	0.789759	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,gen_tempname-38128)
67	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40390)
68	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40399)
69	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40401)
70	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40405)
71	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40407)
72	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40412)
73	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40420)
74	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40422)
75	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40423)
76	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40433)
77	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40435)
78	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40436)
79	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40437)
80	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40438)
81	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40439)
82	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40440)
83	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40441)
84	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40442)
85	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40443)
86	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40445)
87	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40446)
88	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40448)
89	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40449)
90	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40450)
91	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40452)
92	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40454)
93	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40455)
94	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40456)
95	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40458)
96	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40460)
97	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40461)
98	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40462)
99	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40463)
100	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40464)
101	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40465)
102	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40466)
103	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40468)
104	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40474)
105	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40480)
106	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40484)
107	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40486)
108	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40492)
109	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40498)
110	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40522)
111	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40527)
112	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40528)
113	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40529)
114	0.775007	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40531)
115	0.774929	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,create_backup-44628)
116	0.774929	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,create_backup-44630)
117	0.774929	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,plan_a-52687)
118	0.770533	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,another_hunk-48075)
119	0.770533	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,another_hunk-48077)
120	0.75831	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40301)
121	0.75831	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,yyparse-40302)
122	0.735601	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,ifetch-52903)
123	0.735601	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,ifetch-52904)
124	0.729105	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,pget_line-49267)
125	0.729105	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,pget_line-49268)
126	0.729	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,argmatch-43255)
127	0.729	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,numbered_backup-43133)
128	0.729	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,numbered_backup-43139)
129	0.727803	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,find_backup_file_name-43184)
130	0.722713	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,get_ed_command_letter-49459)
131	0.722713	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,get_ed_command_letter-49460)
132	0.722713	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,get_ed_command_letter-49461)
133	0.722713	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,get_ed_command_letter-49462)
134	0.722713	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,get_ed_command_letter-49463)
135	0.722713	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,get_ed_command_letter-49464)
136	0.720578	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,pch_swap-49387)
137	0.697436	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,pch_swap-49305)
138	0.697436	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,pch_swap-49306)
139	0.692819	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,pget_line-49236)
140	0.692819	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,pget_line-49237)
141	0.662249	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,gen_tempname-38130)
142	0.662249	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,gen_tempname-38132)
143	0.662249	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,gen_tempname-38134)
144	0.662249	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,gen_tempname-38136)
145	0.656335	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,removedirs-45876)
146	0.656195	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,format_linenum-45531)
147	0.656195	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,format_linenum-45535)
148	0.6561	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,create_backup-44627)
149	0.6561	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,create_backup-44629)
150	0.6561	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,create_backup-44631)
151	0.6561	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,get_some_switches-51084)
152	0.6561	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,numbered_backup-43118)
153	0.6561	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,pch_normalize-49646)
154	0.6561	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,pch_normalize-49647)
155	0.6561	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,pch_normalize-49662)
156	0.6561	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,pch_normalize-49663)
157	0.6561	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,plan_a-52682)
158	0.6561	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,plan_a-52683)
159	0.6561	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,replace_slashes-45800)
160	0.6561	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,replace_slashes-45801)
161	0.623267	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,merge_hunk-44066)
162	0.619774	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,base_name-42914)
163	0.619774	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,base_name-42915)
164	0.614829	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,base_name-42916)
165	0.614829	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,base_name-42917)
166	0.609064	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,pch_normalize-49654)
167	0.609064	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,pch_normalize-49655)
168	0.59049	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,base_len-42948)
169	0.59049	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,base_len-42949)
170	0.59049	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,create_backup-44552)
171	0.59049	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,create_backup-44553)
172	0.59049	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,gen_tempname-38126)
173	0.59049	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,last_component-42932)
174	0.59049	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,last_component-42933)
175	0.59049	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,main-50140)
176	0.59049	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,main-50141)
177	0.59049	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,merge_hunk-43941)
178	0.59049	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,merge_hunk-43942)
179	0.59049	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,merge_hunk-43953)
180	0.59049	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,merge_hunk-43954)
181	0.59049	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,merge_hunk-43959)
182	0.59049	FalseGround	Unlabelled	SPOkGoodGood	Alarm(_G_-ENTRY,merge_hunk-43960)
