Benchmark,Our Method,,DynaBoost,,Baseline,
,Init,Iters,Init,Iters,Init,Iters
bc,121.0,47.0,121.0,48.0,327.0,113.0
cflow,172.0,21.0,173.0,21.0,356.0,105.0
grep,143.0,63.0,144.0,66.0,714.0,378.0
gzip,234.8,235.0,230.0,235.0,229.5,326.0
libtasn1,5.0,14.0,5.0,14.0,113.0,6.0
patch,58.0,14.0,58.0,14.0,227.0,33.0
readelf,299.0,87.0,300.0,88.0,111.0,37.0
sed,314.0,70.0,316.0,70.0,469.0,196.0
sort,460.0,105.0,461.0,106.0,479.0,174.0
tar,250.0,88.0,253.0,91.0,602.0,220.0
optipng,3.0,4.0,3.0,4.0,2.0,2.0
latex2rtf,6.5,5.0,6.5,5.0,5.5,4.0
shntool,15.3,21.0,15.3,21.0,15.2,21.0
