Rank	Confidence	Ground	Label	Comments	Tuple
1	0.877303	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1606,1)
2	0.877303	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1610,2)
3	0.877303	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1612,3)
4	0.877303	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1615,4)
5	0.877303	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1618,5)
6	0.877303	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1625,6)
7	0.877303	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1627,7)
8	0.877303	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1629,8)
9	0.848761	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1607,1)
10	0.848761	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1611,2)
11	0.848761	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1613,3)
12	0.848761	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1616,4)
13	0.848761	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1619,5)
14	0.848761	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1626,6)
15	0.848761	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1628,7)
16	0.848761	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1630,8)
17	0.831225	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(888,85)
18	0.818409	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(239,25)
19	0.818409	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(249,26)
20	0.818409	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(260,27)
21	0.818409	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(269,28)
22	0.803909	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1918,136)
23	0.801456	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1687,139)
24	0.789849	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(889,85)
25	0.773653	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(240,25)
26	0.773653	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(250,26)
27	0.773653	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(261,27)
28	0.773653	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(270,28)
29	0.764501	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1693,112)
30	0.751051	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1919,136)
31	0.7205	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1694,112)
32	0.711857	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1850,127)
33	0.647886	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(384,44)
34	0.647886	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(512,60)
35	0.642375	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1939,139)
36	0.642356	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1851,127)
37	0.626994	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(258,5)
38	0.626994	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(258,8)
39	0.62619	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1624,6)
40	0.62619	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1637,6)
41	0.624309	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(255,5)
42	0.624309	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(255,8)
43	0.624309	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(266,5)
44	0.624309	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(266,8)
