Rank	Confidence	Ground	Label	Comments	Tuple
1	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(0,11)
2	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1,105)
3	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1,106)
4	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(10,59)
5	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(111,76)
6	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1383,105)
7	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1384,67)
8	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1386,105)
9	0.984469	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(1391,151)
10	0.984469	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(1391,172)
11	0.984469	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(1391,180)
12	0.984469	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(1391,183)
13	0.984469	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(1391,187)
14	0.984469	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(1391,189)
15	0.984469	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(1391,193)
16	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1391,195)
17	0.984469	FalseGround	Unlabelled	SPOkGoodGood	ptsVH(1391,196)
18	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1404,67)
19	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1478,105)
20	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1481,105)
21	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1514,97)
22	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1525,97)
23	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1536,105)
24	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1536,106)
25	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1537,105)
26	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1537,106)
27	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1538,105)
28	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1538,106)
29	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1553,109)
30	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1555,110)
31	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1558,107)
32	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1569,105)
33	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1569,106)
34	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1572,139)
35	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1645,109)
36	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1669,110)
37	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1681,139)
38	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1682,139)
39	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1683,139)
40	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1687,139)
41	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1699,139)
42	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(17,11)
43	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1722,139)
44	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1726,67)
45	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1729,123)
46	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1742,63)
47	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1742,67)
48	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1756,39)
49	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1768,39)
50	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1775,63)
51	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1775,67)
52	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1780,126)
53	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1782,123)
54	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1796,123)
55	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(180,76)
56	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1801,123)
57	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1813,126)
58	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1817,126)
59	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1828,126)
60	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1833,126)
61	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1844,123)
62	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1856,126)
63	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1856,139)
64	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1877,126)
65	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1877,139)
66	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(19,105)
67	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(19,106)
68	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(190,76)
69	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1929,139)
70	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1930,139)
71	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1932,139)
72	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1952,195)
73	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(1953,151)
