Rank	Confidence	Ground	Label	Comments	Tuple
1	0.877303	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14326,1)
2	0.877303	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14337,2)
3	0.848761	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14327,1)
4	0.848761	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14338,2)
5	0.848761	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14339,2)
6	0.647886	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(15230,1476)
7	0.647886	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(15234,1477)
8	0.647886	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(18101,1733)
9	0.647886	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(18107,1734)
10	0.647886	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(18110,1735)
11	0.647886	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(18115,1736)
12	0.633882	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14314,1733)
13	0.633882	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14316,1736)
14	0.613259	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14315,1733)
15	0.613259	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14317,1736)
16	0.570588	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(15231,1476)
17	0.570588	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(15235,1477)
18	0.570588	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(18102,1733)
19	0.570588	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(18108,1734)
20	0.570588	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(18109,1734)
21	0.570588	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(18116,1736)
22	0.478462	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(18134,1737)
23	0.478462	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(18137,1738)
24	0.478462	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(18140,1739)
25	0.478462	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(18143,1740)
26	0.478462	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(18146,1741)
27	0.464448	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14299,2)
28	0.457466	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14329,1)
29	0.448522	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(17594,1692)
30	0.437644	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14304,2)
31	0.406201	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(14335,1)
32	0.383583	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(18135,1737)
33	0.383583	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(18136,1737)
34	0.383583	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(18138,1738)
35	0.383583	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(18139,1738)
36	0.383583	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(18141,1739)
37	0.383583	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(18142,1739)
