Tuple	Confidence	Ground	NumTrue	NumFalse	Fraction	InversionCount	YetToConvergeFraction	Time(s)
ptsVH(34497,1)	0.877303	TrueGround	1	0	1.0	23827195	0.0	464.92059898376465
ptsVH(34498,1)	0.938277	TrueGround	2	0	1.0	23641121	0.0	531.5897142887115
ptsVH(34499,1)	0.938277	TrueGround	3	0	1.0	23740191	0.0	435.6065535545349
ptsVH(34500,2)	0.896156	TrueGround	4	0	1.0	23640438	0.0	472.82084345817566
ptsVH(34501,2)	0.938277	TrueGround	5	0	1.0	23660663	0.0	481.79116463661194
ptsVH(34502,2)	0.938277	TrueGround	6	0	1.0	23602485	0.0	505.8577358722687
ptsVH(34505,3)	0.896156	TrueGround	7	0	1.0	23601554	0.0	516.9780547618866
ptsVH(34506,3)	0.938277	TrueGround	8	0	1.0	23585313	0.0	514.82506275177
ptsVH(34507,3)	0.938277	TrueGround	9	0	1.0	23657824	0.0	527.900377035141
ptsVH(34509,4)	0.896156	TrueGround	10	0	1.0	23569761	0.0	421.1160671710968
ptsVH(34510,4)	0.938277	TrueGround	11	0	1.0	23522908	0.0	469.3192687034607
ptsVH(34511,4)	0.938277	TrueGround	12	0	1.0	23485980	0.0	485.3194453716278
ptsVH(31892,2891)	0.833335	TrueGround	13	0	1.0	23457685	0.0	474.40514969825745
ptsVH(31893,2891)	0.938277	TrueGround	14	0	1.0	23446877	0.0	497.39858508110046
ptsVH(31857,2887)	0.779856	TrueGround	15	0	1.0	23486038	0.0	533.3256638050079
ptsVH(31858,2887)	0.938277	TrueGround	16	0	1.0	23759915	0.0	504.03073048591614
ptsVH(34525,3066)	0.724074	TrueGround	17	0	1.0	23757851	0.0	503.2740306854248
ptsVH(34526,3066)	0.938277	TrueGround	18	0	1.0	23057067	0.0	492.6874279975891
ptsVH(34528,3066)	0.938277	TrueGround	19	0	1.0	23004067	0.0	484.5874755382538
ptsVH(34529,3067)	0.896156	TrueGround	20	0	1.0	23002020	0.0	484.9286162853241
ptsVH(34530,3067)	0.938277	TrueGround	21	0	1.0	22997681	0.0	491.42400074005127
ptsVH(34531,3067)	0.938277	TrueGround	22	0	1.0	23000313	0.0	493.1575720310211
