Tuple	Confidence	Ground	NumTrue	NumFalse	Fraction	InversionCount	YetToConvergeFraction	Time(s)
Alarm(_G_-ENTRY,scan_tree-14536)	0.8538	FalseGround	0	1	0.0	1800	0.0	0
Alarm(_G_-ENTRY,inflate_dynamic-14072)	0.657917	FalseGround	0	2	0.0	1791	0.0	1
Alarm(_G_-ENTRY,send_bits-11413)	0.621154	FalseGround	0	3	0.0	1771	0.0	1
Alarm(_G_-ENTRY,flush_block-14662)	0.567635	FalseGround	0	4	0.0	1757	0.0	1
Alarm(_G_-ENTRY,huft_free-13636)	0.563617	FalseGround	0	5	0.0	1742	0.0	2
Alarm(_G_-ENTRY,get_method-12851)	0.563397	FalseGround	0	6	0.0	1731	0.0	3
Alarm(_G_-ENTRY,unlzw-15239)	0.562399	FalseGround	0	7	0.0	1717	0.0	3
Alarm(_G_-ENTRY,send_bits-11409)	0.523733	FalseGround	0	8	0.0	1709	0.0	3
Alarm(_G_-ENTRY,unlzw-15287)	0.510615	FalseGround	0	9	0.0	1693	0.0	3
Alarm(_G_-ENTRY,build_tree-14461)	0.499758	FalseGround	0	10	0.0	1670	0.0	4
Alarm(_G_-ENTRY,scan_tree-14541)	0.499758	FalseGround	0	11	0.0	1637	0.0	4
Alarm(_G_-ENTRY,deflate_fast-11739)	0.474833	FalseGround	0	12	0.0	1629	0.0	4
Alarm(_G_-ENTRY,compress_block-14782)	0.418931	FalseGround	0	13	0.0	1588	0.0	3
Alarm(_G_-ENTRY,updcrc-15684)	0.417989	FalseGround	0	14	0.0	1576	0.0	3
Alarm(_G_-ENTRY,inflate_dynamic-14053)	0.410642	FalseGround	0	15	0.0	1549	0.0	3
Alarm(_G_-ENTRY,ct_init-14252)	0.384611	FalseGround	0	16	0.0	1537	0.0	4
Alarm(_G_-ENTRY,ct_init-14262)	0.384611	FalseGround	0	17	0.0	1528	0.0	4
Alarm(_G_-ENTRY,read_tree-15376)	0.373623	FalseGround	0	18	0.0	1517	0.0	4
Alarm(_G_-ENTRY,build_tree-14463)	0.370862	FalseGround	0	19	0.0	1505	0.0	5
Alarm(_G_-ENTRY,scan_tree-14542)	0.370862	FalseGround	0	20	0.0	1491	0.0	5
Alarm(_G_-ENTRY,shorten_name-13202)	0.355906	FalseGround	0	21	0.0	1483	0.0	4
Alarm(_G_-ENTRY,gen_codes-14429)	0.353033	FalseGround	0	22	0.0	1611	0.0	4
Alarm(_G_-ENTRY,huft_build-13555)	0.353033	FalseGround	0	23	0.0	1601	0.0	5
Alarm(_G_-ENTRY,unpack-15453)	0.339115	FalseGround	0	24	0.0	1585	0.0	5
Alarm(_G_-ENTRY,ct_tally-14720)	0.327684	FalseGround	0	25	0.0	1579	0.0	4
Alarm(_G_-ENTRY,compress_block-14770)	0.321656	FalseGround	0	26	0.0	1526	0.0	5
Alarm(_G_-ENTRY,do_list-13103)	0.313811	FalseGround	0	27	0.0	1499	0.0	5
Alarm(_G_-ENTRY,gen_bitlen-14396)	0.313811	FalseGround	0	28	0.0	1489	0.0	4
Alarm(_G_-ENTRY,main-12100)	0.313811	FalseGround	0	29	0.0	1475	0.0	4
Alarm(_G_-ENTRY,make_ofname-12696)	0.313811	FalseGround	0	30	0.0	1467	0.0	5
Alarm(_G_-ENTRY,make_ofname-12699)	0.313811	FalseGround	0	31	0.0	1459	0.0	4
Alarm(_G_-ENTRY,huft_build-13597)	0.302266	FalseGround	0	32	0.0	1451	0.0	4
Alarm(_G_-ENTRY,shorten_name-13229)	0.298646	FalseGround	0	33	0.0	1443	0.0	4
Alarm(_G_-ENTRY,get_method-12863)	0.273839	FalseGround	0	34	0.0	1446	0.0	4
Alarm(_G_-ENTRY,huft_build-13557)	0.249761	FalseGround	0	35	0.0	1428	0.0	4
Alarm(_G_-ENTRY,inflate_dynamic-14029)	0.242975	FalseGround	0	36	0.0	1419	0.0	5
Alarm(_G_-ENTRY,build_tree-14495)	0.241967	FalseGround	0	37	0.0	1405	0.0	5
Alarm(_G_-ENTRY,ct_init-14255)	0.20658	FalseGround	0	38	0.0	1323	0.0	4
Alarm(_G_-ENTRY,unpack-15428)	0.200912	FalseGround	0	39	0.0	1315	0.0	5
Alarm(_G_-ENTRY,huft_build-13554)	0.193418	FalseGround	0	40	0.0	1285	0.0	4
Alarm(_G_-ENTRY,scan_tree-14539)	0.187092	FalseGround	0	41	0.0	1265	0.0	5
Alarm(_G_-ENTRY,fillbuf-14826)	0.180773	FalseGround	0	42	0.0	1257	0.0	5
Alarm(_G_-ENTRY,inflate_codes-13785)	0.168848	FalseGround	0	43	0.0	1249	0.0	5
Alarm(_G_-ENTRY,compress_block-14772)	0.148433	FalseGround	0	44	0.0	1215	0.0	5
Alarm(_G_-ENTRY,huft_build-13603)	0.146529	FalseGround	0	45	0.0	1205	0.0	4
Alarm(_G_-ENTRY,gen_codes-14430)	0.142705	FalseGround	0	46	0.0	1191	0.0	5
Alarm(_G_-ENTRY,main-12062)	0.141782	FalseGround	0	47	0.0	1179	0.0	5
Alarm(_G_-ENTRY,read_tree-15377)	0.13829	FalseGround	0	48	0.0	1174	0.0	5
Alarm(_G_-ENTRY,add_envopt-15845)	0.135085	FalseGround	0	49	0.0	1156	0.0	5
Alarm(_G_-ENTRY,decode-15112)	0.135085	FalseGround	0	50	0.0	1140	0.0	5
Alarm(_G_-ENTRY,huft_build-13518)	0.135085	FalseGround	0	51	0.0	1132	0.0	5
Alarm(_G_-ENTRY,huft_build-13591)	0.135085	FalseGround	0	52	0.0	1124	0.0	5
Alarm(_G_-ENTRY,shorten_name-13222)	0.135085	TrueGround	1	52	0.018867924528301886	1116	0.0	5
Alarm(_G_-ENTRY,compress_block-14783)	0.132629	FalseGround	1	53	0.018518518518518517	970	0.0	5
Alarm(_G_-ENTRY,unzip-15577)	0.128268	FalseGround	1	54	0.01818181818181818	949	0.0	5
Alarm(_G_-ENTRY,longest_match-11655)	0.114104	FalseGround	1	55	0.017857142857142856	917	0.0	5
Alarm(_G_-ENTRY,get_suffix-12580)	0.112669	FalseGround	1	56	0.017543859649122806	892	0.0	5
Alarm(_G_-ENTRY,inflate_dynamic-14060)	0.106861	FalseGround	1	57	0.017241379310344827	909	0.0	4
