Tuple	Confidence	Ground	NumTrue	NumFalse	Fraction	InversionCount	YetToConvergeFraction	Time(s)
Alarm(_G_-ENTRY,vasnprintf-88661)	0.899308	FalseGround	0	1	0.0	459	0.0	8
Alarm(_G_-ENTRY,vasnprintf-88172)	0.888548	FalseGround	0	2	0.0	458	0.0	6
Alarm(_G_-ENTRY,fillbuf___7-116677)	0.88143	FalseGround	0	3	0.0	457	0.0	6
Alarm(_G_-ENTRY,check-117728)	0.880496	FalseGround	0	4	0.0	456	0.0	6
Alarm(_G_-ENTRY,mergefps-118203)	0.880161	FalseGround	0	5	0.0	455	0.0	6
Alarm(_G_-ENTRY,mergefps-118204)	0.876543	FalseGround	0	6	0.0	454	0.0	6
Alarm(_G_-ENTRY,mergefps-118337)	0.871268	FalseGround	0	7	0.0	453	0.0	6
Alarm(_G_-ENTRY,mergefps-118303)	0.870343	FalseGround	0	8	0.0	452	0.0	7
Alarm(_G_-ENTRY,vasnprintf-88017)	0.862883	FalseGround	0	9	0.0	449	0.0	9
Alarm(_G_-ENTRY,fillbuf___7-116658)	0.862619	FalseGround	0	10	0.0	448	0.0	8
Alarm(_G_-ENTRY,vasnprintf-88018)	0.853738	FalseGround	0	11	0.0	444	0.0	9
Alarm(_G_-ENTRY,verrevcmp-83400)	0.848628	FalseGround	0	12	0.0	396	0.0	9
Alarm(_G_-ENTRY,merge-118651)	0.847161	FalseGround	0	13	0.0	395	0.0	9
Alarm(_G_-ENTRY,readtoken-107010)	0.842194	FalseGround	0	14	0.0	389	0.0	9
Alarm(_G_-ENTRY,check-117698)	0.835649	FalseGround	0	15	0.0	388	0.0	10
Alarm(_G_-ENTRY,vasnprintf-88170)	0.833941	FalseGround	0	16	0.0	386	0.0	12
Alarm(_G_-ENTRY,sort-118816)	0.830561	FalseGround	0	17	0.0	379	0.0	12
Alarm(_G_-ENTRY,filevercmp-83464)	0.823225	FalseGround	0	18	0.0	365	0.0	15
Alarm(_G_-ENTRY,get_charset_aliases-78101)	0.812598	FalseGround	0	19	0.0	350	0.0	21
Alarm(_G_-ENTRY,readtokens-107302)	0.81121	FalseGround	0	20	0.0	346	0.0	18
Alarm(_G_-ENTRY,keycompare-117520)	0.809036	FalseGround	0	21	0.0	345	0.0	21
