Rank	Confidence	Ground	Label	Comments	Tuple
1	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33470,2991)
2	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33471,3)
3	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33480,2991)
4	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33493,2991)
5	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33494,2992)
6	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33496,2984)
7	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33496,3028)
8	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33510,2991)
9	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33511,2994)
10	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33511,3012)
11	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33516,2992)
12	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33517,2991)
13	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33521,2992)
14	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33525,2991)
15	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33529,2991)
16	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33552,3008)
17	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33553,3)
18	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33554,3008)
19	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33557,2984)
20	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33557,3028)
21	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33558,2987)
22	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33559,2988)
23	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33598,2984)
24	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33599,3008)
25	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33603,3008)
26	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33616,3008)
27	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33617,2984)
28	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33617,3028)
29	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33623,2987)
30	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33626,2988)
31	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33659,3008)
32	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33660,2984)
33	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33660,3028)
34	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33663,4)
35	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33664,3)
36	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33675,4)
37	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33680,2991)
38	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33682,4)
39	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33683,2992)
40	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33684,3009)
41	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33685,3008)
42	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33699,2996)
43	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33712,3048)
44	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33727,3048)
45	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33740,3048)
46	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33766,4)
47	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33767,2987)
48	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33773,3005)
49	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33776,2993)
50	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33781,2984)
51	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33785,4)
52	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33786,4)
53	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33789,2991)
54	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33791,4)
55	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33806,4)
56	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33810,3008)
57	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33814,3009)
58	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33824,2991)
59	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33834,2992)
60	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33838,2994)
61	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33843,2994)
62	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33846,2987)
63	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33848,3005)
64	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33851,3012)
65	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33856,2991)
66	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33861,2984)
67	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33864,2993)
68	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33873,4)
69	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33887,4)
70	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33888,4)
71	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33900,3)
72	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(33901,2)
73	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34042,3)
74	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34043,3033)
75	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34056,3)
76	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34058,3)
77	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34060,3)
78	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34061,3)
79	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34063,3)
80	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34064,3)
81	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34066,3)
82	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34067,3)
83	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34069,3)
84	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34071,3)
85	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34073,3)
86	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34074,2984)
87	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34074,3028)
88	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34077,3)
89	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34078,3)
90	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34079,2984)
91	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34079,3028)
92	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34082,3)
93	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34083,2984)
94	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34083,3028)
95	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34084,3030)
96	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34092,3)
97	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34096,3030)
98	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34102,3)
99	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34115,3033)
100	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34123,3)
101	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34124,3)
102	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34125,3)
103	0.984469	TrueGround	Unlabelled	SPOkGoodGood	ptsVH(34188,3009)
