Rank	Confidence	Ground	Label	Comments	Tuple
1	0.532104	FalseGround	Unlabelled	SPOkGoodGood	lflow(39,58)
2	0.531774	FalseGround	Unlabelled	SPOkGoodGood	lflow(31,58)
3	0.531774	FalseGround	Unlabelled	SPOkGoodGood	lflow(36,58)
4	0.501797	FalseGround	Unlabelled	SPOkGoodGood	lflow(31,50)
5	0.501797	FalseGround	Unlabelled	SPOkGoodGood	lflow(36,50)
6	0.499052	FalseGround	Unlabelled	SPOkGoodGood	lflow(14,58)
7	0.499052	FalseGround	Unlabelled	SPOkGoodGood	lflow(18,58)
8	0.499052	FalseGround	Unlabelled	SPOkGoodGood	lflow(19,58)
9	0.475561	FalseGround	Unlabelled	SPOkGoodGood	lflow(39,47)
10	0.475266	FalseGround	Unlabelled	SPOkGoodGood	lflow(36,47)
11	0.47092	FalseGround	Unlabelled	SPOkGoodGood	lflow(14,50)
12	0.47092	FalseGround	Unlabelled	SPOkGoodGood	lflow(18,50)
13	0.47092	FalseGround	Unlabelled	SPOkGoodGood	lflow(19,50)
14	0.465446	FalseGround	Unlabelled	SPOkGoodGood	lflow(39,42)
15	0.465158	FalseGround	Unlabelled	SPOkGoodGood	lflow(36,42)
16	0.453042	FalseGround	Unlabelled	SPOkGoodGood	lflow(40,58)
17	0.453042	FalseGround	Unlabelled	SPOkGoodGood	lflow(41,58)
18	0.446021	FalseGround	Unlabelled	SPOkGoodGood	lflow(14,47)
19	0.446021	FalseGround	Unlabelled	SPOkGoodGood	lflow(18,47)
20	0.446021	FalseGround	Unlabelled	SPOkGoodGood	lflow(19,47)
21	0.436535	FalseGround	Unlabelled	SPOkGoodGood	lflow(14,42)
22	0.436535	FalseGround	Unlabelled	SPOkGoodGood	lflow(18,42)
23	0.436535	FalseGround	Unlabelled	SPOkGoodGood	lflow(19,42)
24	0.427503	FalseGround	Unlabelled	SPOkGoodGood	lflow(40,50)
25	0.427503	FalseGround	Unlabelled	SPOkGoodGood	lflow(41,50)
26	0.4049	FalseGround	Unlabelled	SPOkGoodGood	lflow(40,47)
27	0.4049	FalseGround	Unlabelled	SPOkGoodGood	lflow(41,47)
28	0.396288	FalseGround	Unlabelled	SPOkGoodGood	lflow(40,42)
29	0.396288	FalseGround	Unlabelled	SPOkGoodGood	lflow(41,42)
30	0.382177	FalseGround	Unlabelled	SPOkGoodGood	lflow(39,60)
31	0.381984	FalseGround	Unlabelled	SPOkGoodGood	lflow(31,60)
32	0.381984	FalseGround	Unlabelled	SPOkGoodGood	lflow(36,60)
33	0.37407	TrueGround	Unlabelled	SPOkGoodGood	lflow(39,50)
34	0.346223	FalseGround	Unlabelled	SPOkGoodGood	lflow(39,48)
35	0.346009	FalseGround	Unlabelled	SPOkGoodGood	lflow(36,48)
36	0.342684	FalseGround	Unlabelled	SPOkGoodGood	lflow(39,55)
37	0.342471	FalseGround	Unlabelled	SPOkGoodGood	lflow(36,55)
38	0.338498	FalseGround	Unlabelled	SPOkGoodGood	lflow(14,62)
39	0.338498	FalseGround	Unlabelled	SPOkGoodGood	lflow(18,62)
40	0.338498	FalseGround	Unlabelled	SPOkGoodGood	lflow(19,62)
41	0.324718	FalseGround	Unlabelled	SPOkGoodGood	lflow(14,48)
42	0.324718	FalseGround	Unlabelled	SPOkGoodGood	lflow(18,48)
