Rank	Confidence	Ground	Label	Comments	Tuple
1	0.82652	TrueGround	Unlabelled	SPOkGoodGood	lflow(0,70)
2	0.826452	FalseGround	Unlabelled	SPOkGoodGood	lflow(14,70)
3	0.826452	FalseGround	Unlabelled	SPOkGoodGood	lflow(16,70)
4	0.826452	FalseGround	Unlabelled	SPOkGoodGood	lflow(20,70)
5	0.826452	FalseGround	Unlabelled	SPOkGoodGood	lflow(21,70)
6	0.826452	FalseGround	Unlabelled	SPOkGoodGood	lflow(33,70)
7	0.826452	FalseGround	Unlabelled	SPOkGoodGood	lflow(35,70)
8	0.826452	FalseGround	Unlabelled	SPOkGoodGood	lflow(38,70)
9	0.826452	FalseGround	Unlabelled	SPOkGoodGood	lflow(39,70)
10	0.826452	FalseGround	Unlabelled	SPOkGoodGood	lflow(40,70)
11	0.826452	FalseGround	Unlabelled	SPOkGoodGood	lflow(41,70)
12	0.826452	FalseGround	Unlabelled	SPOkGoodGood	lflow(42,70)
13	0.826452	FalseGround	Unlabelled	SPOkGoodGood	lflow(43,70)
14	0.826452	FalseGround	Unlabelled	SPOkGoodGood	lflow(44,70)
15	0.826452	FalseGround	Unlabelled	SPOkGoodGood	lflow(45,70)
16	0.826452	FalseGround	Unlabelled	SPOkGoodGood	lflow(46,70)
17	0.821626	FalseGround	Unlabelled	SPOkGoodGood	lflow(14,75)
18	0.821626	FalseGround	Unlabelled	SPOkGoodGood	lflow(16,75)
19	0.821626	FalseGround	Unlabelled	SPOkGoodGood	lflow(20,75)
20	0.821626	FalseGround	Unlabelled	SPOkGoodGood	lflow(21,75)
21	0.821626	FalseGround	Unlabelled	SPOkGoodGood	lflow(33,75)
22	0.821626	FalseGround	Unlabelled	SPOkGoodGood	lflow(35,75)
23	0.821626	FalseGround	Unlabelled	SPOkGoodGood	lflow(38,75)
24	0.821626	FalseGround	Unlabelled	SPOkGoodGood	lflow(39,75)
25	0.821626	FalseGround	Unlabelled	SPOkGoodGood	lflow(40,75)
26	0.821626	FalseGround	Unlabelled	SPOkGoodGood	lflow(41,75)
27	0.821626	FalseGround	Unlabelled	SPOkGoodGood	lflow(42,75)
28	0.821626	FalseGround	Unlabelled	SPOkGoodGood	lflow(43,75)
29	0.821626	FalseGround	Unlabelled	SPOkGoodGood	lflow(44,75)
30	0.821626	FalseGround	Unlabelled	SPOkGoodGood	lflow(45,75)
31	0.821626	FalseGround	Unlabelled	SPOkGoodGood	lflow(46,75)
32	0.818395	FalseGround	Unlabelled	SPOkGoodGood	lflow(14,76)
33	0.818395	FalseGround	Unlabelled	SPOkGoodGood	lflow(16,76)
34	0.818395	FalseGround	Unlabelled	SPOkGoodGood	lflow(20,76)
35	0.818395	FalseGround	Unlabelled	SPOkGoodGood	lflow(21,76)
36	0.818395	FalseGround	Unlabelled	SPOkGoodGood	lflow(33,76)
37	0.818395	FalseGround	Unlabelled	SPOkGoodGood	lflow(35,76)
38	0.818395	FalseGround	Unlabelled	SPOkGoodGood	lflow(38,76)
39	0.818395	FalseGround	Unlabelled	SPOkGoodGood	lflow(39,76)
40	0.818395	FalseGround	Unlabelled	SPOkGoodGood	lflow(40,76)
41	0.818395	FalseGround	Unlabelled	SPOkGoodGood	lflow(41,76)
42	0.818395	FalseGround	Unlabelled	SPOkGoodGood	lflow(42,76)
43	0.818395	FalseGround	Unlabelled	SPOkGoodGood	lflow(43,76)
44	0.818395	FalseGround	Unlabelled	SPOkGoodGood	lflow(44,76)
45	0.818395	FalseGround	Unlabelled	SPOkGoodGood	lflow(45,76)
46	0.818395	FalseGround	Unlabelled	SPOkGoodGood	lflow(46,76)
47	0.811761	TrueGround	Unlabelled	SPOkGoodGood	lflow(0,75)
48	0.811517	TrueGround	Unlabelled	SPOkGoodGood	lflow(48,85)
49	0.811517	TrueGround	Unlabelled	SPOkGoodGood	lflow(49,85)
50	0.811517	TrueGround	Unlabelled	SPOkGoodGood	lflow(50,85)
51	0.811517	TrueGround	Unlabelled	SPOkGoodGood	lflow(51,85)
52	0.811517	TrueGround	Unlabelled	SPOkGoodGood	lflow(52,85)
53	0.811517	TrueGround	Unlabelled	SPOkGoodGood	lflow(53,85)
54	0.811517	TrueGround	Unlabelled	SPOkGoodGood	lflow(54,85)
55	0.811517	TrueGround	Unlabelled	SPOkGoodGood	lflow(55,85)
56	0.811517	TrueGround	Unlabelled	SPOkGoodGood	lflow(56,85)
57	0.811517	TrueGround	Unlabelled	SPOkGoodGood	lflow(57,85)
58	0.811517	TrueGround	Unlabelled	SPOkGoodGood	lflow(58,85)
59	0.811517	TrueGround	Unlabelled	SPOkGoodGood	lflow(59,85)
60	0.811517	TrueGround	Unlabelled	SPOkGoodGood	lflow(60,85)
61	0.811517	TrueGround	Unlabelled	SPOkGoodGood	lflow(61,85)
62	0.811517	TrueGround	Unlabelled	SPOkGoodGood	lflow(62,85)
63	0.811517	TrueGround	Unlabelled	SPOkGoodGood	lflow(63,85)
64	0.811517	TrueGround	Unlabelled	SPOkGoodGood	lflow(64,85)
65	0.811517	TrueGround	Unlabelled	SPOkGoodGood	lflow(65,85)
66	0.811517	TrueGround	Unlabelled	SPOkGoodGood	lflow(66,85)
67	0.811517	TrueGround	Unlabelled	SPOkGoodGood	lflow(67,85)
68	0.811517	TrueGround	Unlabelled	SPOkGoodGood	lflow(68,85)
69	0.809602	TrueGround	Unlabelled	SPOkGoodGood	lflow(0,76)
70	0.799129	FalseGround	Unlabelled	SPOkGoodGood	lflow(16,85)
71	0.799129	FalseGround	Unlabelled	SPOkGoodGood	lflow(20,85)
72	0.799129	FalseGround	Unlabelled	SPOkGoodGood	lflow(21,85)
73	0.799126	FalseGround	Unlabelled	SPOkGoodGood	lflow(14,85)
74	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(48,70)
75	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(49,70)
76	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(50,70)
77	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(51,70)
78	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(52,70)
79	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(53,70)
80	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(54,70)
81	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(55,70)
82	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(56,70)
83	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(57,70)
84	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(58,70)
85	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(59,70)
86	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(60,70)
87	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(61,70)
88	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(62,70)
89	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(63,70)
90	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(64,70)
91	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(65,70)
92	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(66,70)
93	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(67,70)
94	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(68,70)
95	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(48,75)
96	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(49,75)
97	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(50,75)
98	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(51,75)
99	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(52,75)
100	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(53,75)
101	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(54,75)
102	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(55,75)
103	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(56,75)
104	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(57,75)
105	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(58,75)
106	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(59,75)
107	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(60,75)
108	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(61,75)
109	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(62,75)
110	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(63,75)
111	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(64,75)
112	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(65,75)
113	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(66,75)
114	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(67,75)
115	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(68,75)
116	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(48,76)
117	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(49,76)
118	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(50,76)
119	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(51,76)
120	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(52,76)
121	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(53,76)
122	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(54,76)
123	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(55,76)
124	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(56,76)
125	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(57,76)
126	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(58,76)
127	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(59,76)
128	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(60,76)
129	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(61,76)
130	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(62,76)
131	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(63,76)
132	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(64,76)
133	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(65,76)
134	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(66,76)
135	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(67,76)
136	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(68,76)
137	0.653816	FalseGround	Unlabelled	SPOkGoodGood	lflow(28,85)
138	0.653816	FalseGround	Unlabelled	SPOkGoodGood	lflow(34,85)
139	0.653816	FalseGround	Unlabelled	SPOkGoodGood	lflow(47,85)
140	0.653815	FalseGround	Unlabelled	SPOkGoodGood	lflow(2,85)
141	0.636796	FalseGround	Unlabelled	SPOkGoodGood	lflow(0,85)
142	0.593737	FalseGround	Unlabelled	SPOkGoodGood	lflow(27,85)
143	0.576467	FalseGround	Unlabelled	SPOkGoodGood	lflow(33,79)
144	0.576467	FalseGround	Unlabelled	SPOkGoodGood	lflow(35,79)
145	0.576467	FalseGround	Unlabelled	SPOkGoodGood	lflow(38,79)
146	0.576467	FalseGround	Unlabelled	SPOkGoodGood	lflow(39,79)
147	0.576467	FalseGround	Unlabelled	SPOkGoodGood	lflow(40,79)
148	0.576467	FalseGround	Unlabelled	SPOkGoodGood	lflow(41,79)
149	0.576467	FalseGround	Unlabelled	SPOkGoodGood	lflow(42,79)
150	0.576467	FalseGround	Unlabelled	SPOkGoodGood	lflow(43,79)
151	0.576467	FalseGround	Unlabelled	SPOkGoodGood	lflow(44,79)
152	0.576467	FalseGround	Unlabelled	SPOkGoodGood	lflow(45,79)
153	0.576467	FalseGround	Unlabelled	SPOkGoodGood	lflow(46,79)
154	0.576321	TrueGround	Unlabelled	SPOkGoodGood	lflow(48,79)
155	0.576321	TrueGround	Unlabelled	SPOkGoodGood	lflow(49,79)
156	0.576321	TrueGround	Unlabelled	SPOkGoodGood	lflow(50,79)
157	0.576321	TrueGround	Unlabelled	SPOkGoodGood	lflow(51,79)
158	0.576321	TrueGround	Unlabelled	SPOkGoodGood	lflow(52,79)
159	0.576321	TrueGround	Unlabelled	SPOkGoodGood	lflow(53,79)
160	0.576321	TrueGround	Unlabelled	SPOkGoodGood	lflow(54,79)
161	0.576321	TrueGround	Unlabelled	SPOkGoodGood	lflow(55,79)
162	0.576321	TrueGround	Unlabelled	SPOkGoodGood	lflow(56,79)
163	0.576321	TrueGround	Unlabelled	SPOkGoodGood	lflow(57,79)
164	0.576321	TrueGround	Unlabelled	SPOkGoodGood	lflow(58,79)
165	0.576321	TrueGround	Unlabelled	SPOkGoodGood	lflow(59,79)
166	0.576321	TrueGround	Unlabelled	SPOkGoodGood	lflow(60,79)
167	0.576321	TrueGround	Unlabelled	SPOkGoodGood	lflow(61,79)
168	0.576321	TrueGround	Unlabelled	SPOkGoodGood	lflow(62,79)
169	0.576321	TrueGround	Unlabelled	SPOkGoodGood	lflow(63,79)
170	0.576321	TrueGround	Unlabelled	SPOkGoodGood	lflow(64,79)
171	0.576321	TrueGround	Unlabelled	SPOkGoodGood	lflow(65,79)
172	0.576321	TrueGround	Unlabelled	SPOkGoodGood	lflow(66,79)
173	0.576321	TrueGround	Unlabelled	SPOkGoodGood	lflow(67,79)
174	0.576321	TrueGround	Unlabelled	SPOkGoodGood	lflow(68,79)
175	0.570971	FalseGround	Unlabelled	SPOkGoodGood	lflow(29,79)
176	0.565741	FalseGround	Unlabelled	SPOkGoodGood	lflow(27,70)
177	0.554597	FalseGround	Unlabelled	SPOkGoodGood	lflow(28,79)
178	0.554597	FalseGround	Unlabelled	SPOkGoodGood	lflow(34,79)
179	0.554597	FalseGround	Unlabelled	SPOkGoodGood	lflow(47,79)
180	0.554596	FalseGround	Unlabelled	SPOkGoodGood	lflow(2,79)
181	0.545041	FalseGround	Unlabelled	SPOkGoodGood	lflow(14,79)
182	0.545041	FalseGround	Unlabelled	SPOkGoodGood	lflow(16,79)
183	0.545041	FalseGround	Unlabelled	SPOkGoodGood	lflow(20,79)
184	0.545041	FalseGround	Unlabelled	SPOkGoodGood	lflow(21,79)
185	0.528083	FalseGround	Unlabelled	SPOkGoodGood	lflow(28,75)
186	0.528083	FalseGround	Unlabelled	SPOkGoodGood	lflow(34,75)
187	0.528083	FalseGround	Unlabelled	SPOkGoodGood	lflow(47,75)
188	0.528082	FalseGround	Unlabelled	SPOkGoodGood	lflow(2,75)
189	0.495953	TrueGround	Unlabelled	SPOkGoodGood	lflow(33,85)
190	0.495953	FalseGround	Unlabelled	SPOkGoodGood	lflow(35,85)
191	0.495953	FalseGround	Unlabelled	SPOkGoodGood	lflow(38,85)
192	0.495953	FalseGround	Unlabelled	SPOkGoodGood	lflow(39,85)
193	0.495953	FalseGround	Unlabelled	SPOkGoodGood	lflow(40,85)
194	0.495953	FalseGround	Unlabelled	SPOkGoodGood	lflow(41,85)
195	0.495953	FalseGround	Unlabelled	SPOkGoodGood	lflow(42,85)
196	0.495953	FalseGround	Unlabelled	SPOkGoodGood	lflow(43,85)
197	0.495953	FalseGround	Unlabelled	SPOkGoodGood	lflow(44,85)
198	0.495953	FalseGround	Unlabelled	SPOkGoodGood	lflow(45,85)
199	0.495953	FalseGround	Unlabelled	SPOkGoodGood	lflow(46,85)
200	0.461173	FalseGround	Unlabelled	SPOkGoodGood	lflow(29,85)
201	0.459281	FalseGround	Unlabelled	SPOkGoodGood	lflow(27,75)
202	0.43316	FalseGround	Unlabelled	SPOkGoodGood	lflow(28,76)
203	0.43316	FalseGround	Unlabelled	SPOkGoodGood	lflow(34,76)
204	0.43316	FalseGround	Unlabelled	SPOkGoodGood	lflow(47,76)
205	0.433159	FalseGround	Unlabelled	SPOkGoodGood	lflow(2,76)
206	0.417775	FalseGround	Unlabelled	SPOkGoodGood	lflow(27,76)
207	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(48,101)
208	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(48,81)
209	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(48,88)
210	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(49,101)
211	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(49,81)
212	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(49,88)
213	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(50,101)
214	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(50,81)
215	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(50,88)
216	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(51,101)
217	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(51,81)
218	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(51,88)
219	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(52,101)
220	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(52,81)
221	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(52,88)
222	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(53,101)
223	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(53,81)
224	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(53,88)
225	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(54,101)
226	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(54,81)
227	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(54,88)
228	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(55,101)
229	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(55,81)
230	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(55,88)
231	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(56,101)
232	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(56,81)
233	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(56,88)
234	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(57,101)
235	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(57,81)
236	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(57,88)
237	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(58,101)
238	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(58,81)
239	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(58,88)
240	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(59,101)
241	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(59,81)
242	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(59,88)
243	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(60,101)
244	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(60,81)
245	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(60,88)
246	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(61,101)
247	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(61,81)
248	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(61,88)
249	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(62,101)
250	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(62,81)
251	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(62,88)
252	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(63,101)
253	0.366693	FalseGround	Unlabelled	SPOkGoodGood	lflow(63,81)
