Rank	Confidence	Ground	Label	Comments	Tuple
1	0.82652	TrueGround	Unlabelled	SPOkGoodGood	lflow(0,70)
2	0.811761	TrueGround	Unlabelled	SPOkGoodGood	lflow(0,75)
3	0.809602	TrueGround	Unlabelled	SPOkGoodGood	lflow(0,76)
4	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(48,70)
5	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(49,70)
6	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(50,70)
7	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(51,70)
8	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(52,70)
9	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(53,70)
10	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(54,70)
11	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(55,70)
12	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(56,70)
13	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(57,70)
14	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(58,70)
15	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(59,70)
16	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(60,70)
17	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(61,70)
18	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(62,70)
19	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(63,70)
20	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(64,70)
21	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(65,70)
22	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(66,70)
23	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(67,70)
24	0.715734	TrueGround	Unlabelled	SPOkGoodGood	lflow(68,70)
25	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(48,75)
26	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(49,75)
27	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(50,75)
28	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(51,75)
29	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(52,75)
30	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(53,75)
31	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(54,75)
32	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(55,75)
33	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(56,75)
34	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(57,75)
35	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(58,75)
36	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(59,75)
37	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(60,75)
38	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(61,75)
39	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(62,75)
40	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(63,75)
41	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(64,75)
42	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(65,75)
43	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(66,75)
44	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(67,75)
45	0.711413	FalseGround	Unlabelled	SPOkGoodGood	lflow(68,75)
46	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(48,76)
47	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(49,76)
48	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(50,76)
49	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(51,76)
50	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(52,76)
51	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(53,76)
52	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(54,76)
53	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(55,76)
54	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(56,76)
55	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(57,76)
56	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(58,76)
57	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(59,76)
58	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(60,76)
59	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(61,76)
60	0.692934	TrueGround	Unlabelled	SPOkGoodGood	lflow(62,76)
