Rank	Confidence	Ground	Label	Comments	Tuple
1	0.834099	TrueGround	Unlabelled	SPOkGoodGood	lflow(41,139)
2	0.830755	TrueGround	Unlabelled	SPOkGoodGood	lflow(28,139)
3	0.819156	TrueGround	Unlabelled	SPOkGoodGood	lflow(107,139)
4	0.809226	TrueGround	Unlabelled	SPOkGoodGood	lflow(108,139)
5	0.809226	TrueGround	Unlabelled	SPOkGoodGood	lflow(109,139)
6	0.755891	TrueGround	Unlabelled	SPOkGoodGood	lflow(110,139)
7	0.755891	TrueGround	Unlabelled	SPOkGoodGood	lflow(111,139)
8	0.755891	TrueGround	Unlabelled	SPOkGoodGood	lflow(112,139)
9	0.755891	TrueGround	Unlabelled	SPOkGoodGood	lflow(113,139)
10	0.755891	TrueGround	Unlabelled	SPOkGoodGood	lflow(114,139)
11	0.755891	TrueGround	Unlabelled	SPOkGoodGood	lflow(115,139)
12	0.755891	TrueGround	Unlabelled	SPOkGoodGood	lflow(116,139)
13	0.755891	TrueGround	Unlabelled	SPOkGoodGood	lflow(117,139)
14	0.755891	TrueGround	Unlabelled	SPOkGoodGood	lflow(118,139)
15	0.755891	TrueGround	Unlabelled	SPOkGoodGood	lflow(119,139)
16	0.755891	TrueGround	Unlabelled	SPOkGoodGood	lflow(120,139)
17	0.755891	TrueGround	Unlabelled	SPOkGoodGood	lflow(121,139)
18	0.755891	TrueGround	Unlabelled	SPOkGoodGood	lflow(122,139)
19	0.701288	FalseGround	Unlabelled	SPOkGoodGood	lflow(41,235)
20	0.687608	TrueGround	Unlabelled	SPOkGoodGood	lflow(107,235)
21	0.664319	FalseGround	Unlabelled	SPOkGoodGood	lflow(41,150)
22	0.662969	TrueGround	Unlabelled	SPOkGoodGood	lflow(108,235)
23	0.662969	TrueGround	Unlabelled	SPOkGoodGood	lflow(109,235)
24	0.652788	TrueGround	Unlabelled	SPOkGoodGood	lflow(107,150)
25	0.630713	TrueGround	Unlabelled	SPOkGoodGood	lflow(108,150)
26	0.630713	TrueGround	Unlabelled	SPOkGoodGood	lflow(109,150)
27	0.570079	TrueGround	Unlabelled	SPOkGoodGood	lflow(110,235)
28	0.570079	TrueGround	Unlabelled	SPOkGoodGood	lflow(111,235)
29	0.570079	TrueGround	Unlabelled	SPOkGoodGood	lflow(112,235)
30	0.570079	TrueGround	Unlabelled	SPOkGoodGood	lflow(113,235)
31	0.570079	TrueGround	Unlabelled	SPOkGoodGood	lflow(114,235)
