VV(13045,13049) 0.5041627820093395
VV(13049,13045) 0.5041627820093395
VV(13051,13060) 0.504162787725052
VV(13051,13066) 0.504162787725052
VV(13051,13077) 0.504162787725052
VV(13051,13085) 0.504162787725052
VV(13051,13098) 0.5041628566229437
VV(13053,13100) 0.5041630895446418
VV(13060,13051) 0.504162787725052
VV(13066,13051) 0.504162787725052
VV(13077,13051) 0.504162787725052
VV(13085,13051) 0.504162787725052
VV(13098,13051) 0.5041628566229437
VV(13100,13053) 0.5041630895446418
VV(13060,13066) 0.5041627820093395
VV(13066,13060) 0.5041627820093395
VV(13060,13077) 0.5041627820093395
VV(13060,13085) 0.5041627820093395
VV(13066,13077) 0.5041627820093395
VV(13066,13085) 0.5041627820093395
VV(13067,13086) 0.5041627820093395
VV(13070,13080) 0.5041627820093395
VV(13077,13060) 0.5041627820093395
VV(13077,13066) 0.5041627820093395
VV(13085,13060) 0.5041627820093395
VV(13080,13070) 0.5041627820093395
VV(13085,13066) 0.5041627820093395
VV(13086,13067) 0.5041627820093395
VV(13077,13085) 0.5041627820093395
VV(13085,13077) 0.5041627820093395
VV(13060,13098) 0.5041628334071692
VV(13067,13095) 0.5041628876762262
VV(13070,13089) 0.5041627820093395
VV(13067,13096) 0.5041628876762262
VV(13066,13098) 0.504162833407169
VV(13067,13102) 0.5041628876762262
VV(13067,13103) 0.5041628876762262
VV(13077,13098) 0.504162833407169
VV(13080,13089) 0.5041627820093395
VV(13086,13095) 0.5041628876762262
VV(13085,13098) 0.504162833407169
VV(13086,13096) 0.5041628876762262
VV(13086,13102) 0.5041628876762262
VV(13086,13103) 0.5041628876762262
VV(13089,13070) 0.5041627820093395
VV(13095,13067) 0.5041628876762262
VV(13098,13060) 0.5041628334071692
VV(13096,13067) 0.5041628876762262
VV(13098,13066) 0.504162833407169
VV(13102,13067) 0.5041628876762262
VV(13103,13067) 0.5041628876762262
VV(13089,13080) 0.5041627820093395
VV(13095,13086) 0.5041628876762262
VV(13098,13077) 0.504162833407169
VV(13096,13086) 0.5041628876762262
VV(13098,13085) 0.504162833407169
VV(13102,13086) 0.5041628876762262
VV(13103,13086) 0.5041628876762262
VV(13095,13096) 0.5041627820093395
VV(13095,13102) 0.5041627820093395
VV(13095,13103) 0.5041627820093395
VV(13096,13095) 0.5041627820093395
VV(13102,13095) 0.5041627820093395
VV(13103,13095) 0.5041627820093395
VV(13096,13102) 0.5041627820093395
VV(13096,13103) 0.5041627820093395
VV(13102,13096) 0.5041627820093395
VV(13103,13096) 0.5041627820093395
VV(13102,13103) 0.5041627820093395
VV(13103,13102) 0.5041627820093395
VV(13104,13113) 0.5041628594274541
VV(13113,13104) 0.5041628594274541
VV(13067,13136) 0.5041631777665425
VV(13086,13136) 0.5041631777665425
VV(13095,13136) 0.5041630404991827
VV(13096,13136) 0.5041627883211138
VV(13102,13136) 0.5041630404991827
VV(13103,13136) 0.5041630404991827
VV(13136,13067) 0.5041631777665425
VV(13136,13086) 0.5041631777665425
VV(13136,13095) 0.5041630404991827
VV(13136,13096) 0.5041627883211138
VV(13136,13102) 0.5041630404991827
VV(13136,13103) 0.5041630404991827
VV(13129,13148) 0.5041628335427792
VV(13148,13129) 0.5041628335427792
VV(13067,13203) 0.5041631508350572
VV(13086,13203) 0.5041631508350572
VV(13095,13203) 0.5041630177104897
VV(13096,13203) 0.5041627926480855
VV(13102,13203) 0.5041630177104897
VV(13103,13203) 0.5041630177104897
VV(13136,13203) 0.5041627883912347
VV(13203,13067) 0.5041631508350572
VV(13203,13086) 0.5041631508350572
VV(13203,13095) 0.5041630177104897
VV(13203,13096) 0.5041627926480855
VV(13203,13102) 0.5041630177104897
VV(13203,13103) 0.5041630177104897
VV(13203,13136) 0.5041627883912347
